cell_id,x,y,centroid_lat,centroid_lon,population,type,type_source,green_cover_pct,elevation_m,dist_to_boundary_m
ghsl_1590_cell_00000,4,0,52.51746226845588,4.783901315421156,2337.4,Industrial,buildings,32.6,-0.8,461.5
ghsl_1590_cell_00001,2,1,52.50771891549865,4.756014302055593,2635.9,Residential,buildings,34.5,2.2,461.6
ghsl_1590_cell_00002,3,1,52.50771891549866,4.76962235442199,4123.7,Residential,buildings,38.7,-0.1,542.1
ghsl_1590_cell_00003,4,1,52.50771891549865,4.783230406788386,2479.2,Industrial,buildings,8.7,0.9,697.7
ghsl_1590_cell_00004,5,1,52.507718915498664,4.796838459154783,665.3,Industrial,buildings,86.4,-3.2,461.6
ghsl_1590_cell_00005,2,2,52.49797635609782,4.755347600096516,4565.5,Residential,buildings,15.7,-0.6,461.6
ghsl_1590_cell_00006,3,2,52.49797635609784,4.768953744875048,5063.4,Residential,buildings,5.5,1.9,1384.9
ghsl_1590_cell_00007,4,2,52.49797635609783,4.782559889653578,5369.0,Residential,buildings,25.1,-1.0,1509.5
ghsl_1590_cell_00008,5,2,52.49797635609782,4.796166034432109,3906.4,Residential,buildings,25.5,7.2,727.2
ghsl_1590_cell_00009,6,2,52.49797635609783,4.809772179210639,5732.6,Residential,buildings,53.5,0.2,461.6
ghsl_1590_cell_00010,1,3,52.48823458985838,4.741077048770613,2851.3,Residential,buildings,38.4,-1.8,461.7
ghsl_1590_cell_00011,2,3,52.48823458985837,4.754681287074116,7755.4,Residential,buildings,15.9,0.4,541.8
ghsl_1590_cell_00012,3,3,52.48823458985838,4.768285525377618,2273.1,Industrial,buildings,11.5,5.7,541.9
ghsl_1590_cell_00013,4,3,52.48823458985838,4.7818897636811215,1157.2,Residential,buildings,34.4,-1.3,727.2
ghsl_1590_cell_00014,5,3,52.48823458985838,4.795494001984623,2149.0,Residential,buildings,19.3,-0.8,1384.9
ghsl_1590_cell_00015,6,3,52.48823458985837,4.809098240288126,2906.0,Residential,buildings,26.0,-1.0,461.6
ghsl_1590_cell_00016,4,4,52.478493616385634,4.781220028535813,91.5,Residential,buildings,34.9,-1.1,461.7
ghsl_1590_cell_00017,5,4,52.47849361638562,4.79482236147617,2209.1,Residential,buildings,100.0,-1.4,727.2
ghsl_1590_cell_00018,6,4,52.47849361638562,4.808424694416528,2918.3,Residential,buildings,9.5,2.2,727.3
ghsl_1590_cell_00019,7,4,52.478493616385634,4.822027027356886,154.2,Civic,buildings,91.6,-1.2,461.7
ghsl_1590_cell_00020,5,5,52.468753435285144,4.7941511125710035,950.9,Residential,buildings,26.4,-0.1,461.7
ghsl_1590_cell_00021,6,5,52.46875343528515,4.807751541259148,3681.6,Residential,buildings,11.4,0.4,1385.2
ghsl_1590_cell_00022,7,5,52.46875343528515,4.821351969947291,1508.7,Residential,buildings,15.9,-0.9,727.3
ghsl_1590_cell_00023,8,5,52.468753435285144,4.834952398635437,3485.8,Residential,buildings,32.7,4.6,461.7
ghsl_1590_cell_00024,5,6,52.459014046162814,4.793480254933784,2015.5,Residential,buildings,16.6,1.1,461.8
ghsl_1590_cell_00025,6,6,52.4590140461628,4.807078780479695,5609.4,Residential,buildings,4.0,3.3,1385.3
ghsl_1590_cell_00026,7,6,52.45901404616281,4.8206773060256065,3245.7,Residential,buildings,23.0,0.7,1385.3
ghsl_1590_cell_00027,8,6,52.45901404616281,4.834275831571517,1221.9,Residential,buildings,91.6,7.4,461.8
ghsl_1590_cell_00028,5,7,52.449275448624846,4.7928097882295875,1436.4,Residential,buildings,58.9,-0.6,461.8
ghsl_1590_cell_00029,6,7,52.44927544862483,4.806406411742294,5553.0,Residential,buildings,15.3,4.5,1385.4
ghsl_1590_cell_00030,7,7,52.449275448624846,4.820003035255003,6895.8,Residential,buildings,7.3,3.4,1510.1
ghsl_1590_cell_00031,8,7,52.449275448624846,4.833599658767713,5503.5,Residential,buildings,43.7,2.3,727.3
ghsl_1590_cell_00032,9,7,52.44927544862485,4.84719628228042,1719.8,Residential,buildings,64.0,1.3,461.8
ghsl_1590_cell_00033,5,8,52.43953764227766,4.792139712123893,0.4,Green,land_use,87.1,-2.1,461.8
ghsl_1590_cell_00034,6,8,52.43953764227765,4.805734434711478,5657.2,Residential,buildings,31.4,1.4,1385.5
ghsl_1590_cell_00035,7,8,52.43953764227765,4.819329157299063,9071.7,Residential,buildings,4.8,2.5,2181.8
ghsl_1590_cell_00036,8,8,52.43953764227766,4.83292387988665,7942.7,Residential,buildings,13.3,2.2,1385.5
ghsl_1590_cell_00037,9,8,52.43953764227766,4.846518602474235,6076.1,Residential,buildings,67.9,-0.4,461.8
ghsl_1590_cell_00038,4,9,52.429800626728024,4.777877203512991,1019.8,Industrial,buildings,22.0,-2.7,461.9
ghsl_1590_cell_00039,5,9,52.42980062672803,4.791470026282587,1113.9,Industrial,buildings,33.4,-1.4,697.6
ghsl_1590_cell_00040,6,9,52.42980062672804,4.805062849052184,2515.9,Industrial,buildings,19.9,7.2,1467.7
ghsl_1590_cell_00041,7,9,52.429800626728024,4.818655671821778,2662.5,Industrial,buildings,10.5,5.4,2351.8
ghsl_1590_cell_00042,8,9,52.42980062672804,4.832248494591376,4039.4,Residential,buildings,16.3,-1.5,1510.3
ghsl_1590_cell_00043,9,9,52.429800626728024,4.845841317360971,4163.9,Residential,buildings,47.1,6.2,727.3
