cell_id,x,y,centroid_lat,centroid_lon,population,type,type_source,green_cover_pct,elevation_m,dist_to_boundary_m
ghsl_5071_cell_00000,14,0,41.59147995703672,2.1813856965582517,2345.3,Industrial,buildings,4.2,163.7,498.2
ghsl_5071_cell_00001,13,1,41.5824531332072,2.169242899771503,1610.8,Industrial,buildings,4.7,130.4,498.3
ghsl_5071_cell_00002,14,1,41.5824531332072,2.1811946512853964,3618.9,Industrial,buildings,7.2,146.9,701.2
ghsl_5071_cell_00003,15,1,41.5824531332072,2.1931464027992886,22.8,Residential,buildings,0.0,139.1,498.3
ghsl_5071_cell_00004,19,1,41.5824531332072,2.240953408854859,651.7,Industrial,buildings,6.5,98.1,498.3
ghsl_5071_cell_00005,20,1,41.5824531332072,2.2529051603687518,1676.7,Industrial,buildings,4.1,110.5,498.3
ghsl_5071_cell_00006,6,2,41.57342678075019,2.0853980532448513,10839.3,Residential,buildings,11.7,246.5,498.3
ghsl_5071_cell_00007,7,2,41.57342678075019,2.097348758421039,2650.8,Industrial,buildings,9.5,170.7,498.3
ghsl_5071_cell_00008,13,2,41.57342678075019,2.1690529894781685,425.1,Industrial,buildings,0.5,129.0,498.3
ghsl_5071_cell_00009,14,2,41.57342678075019,2.1810036946543567,2096.9,Industrial,buildings,5.3,119.1,1494.9
ghsl_5071_cell_00010,15,2,41.57342678075019,2.192954399830545,427.3,Residential,buildings,16.3,130.9,712.5
ghsl_5071_cell_00011,16,2,41.57342678075019,2.204905105006733,58.5,Industrial,buildings,11.5,130.5,501.3
ghsl_5071_cell_00012,17,2,41.57342678075019,2.2168558101829223,590.3,Industrial,buildings,10.6,128.6,501.4
ghsl_5071_cell_00013,18,2,41.57342678075019,2.22880651535911,3136.3,Residential,buildings,6.7,120.1,501.3
ghsl_5071_cell_00014,19,2,41.57342678075019,2.2407572205352984,2273.6,Industrial,buildings,10.2,90.0,701.1
ghsl_5071_cell_00015,20,2,41.57342678075019,2.252707925711487,1700.8,Industrial,buildings,22.7,128.5,712.6
ghsl_5071_cell_00016,21,2,41.57342678075019,2.264658630887675,3306.3,Industrial,buildings,14.3,125.7,498.3
ghsl_5071_cell_00017,5,3,41.564400899472425,2.0732658926977185,2074.0,Industrial,buildings,41.0,248.9,498.3
ghsl_5071_cell_00018,6,3,41.56440089947242,2.0852155520216247,13840.6,Civic,buildings,17.5,230.1,701.5
ghsl_5071_cell_00019,7,3,41.56440089947242,2.0971652113455304,16346.7,Civic,buildings,15.2,223.8,712.2
ghsl_5071_cell_00020,8,3,41.56440089947242,2.109114870669437,3987.8,Industrial,buildings,34.0,160.9,498.3
ghsl_5071_cell_00021,13,3,41.56440089947242,2.1688631672889676,163.6,Residential,buildings,51.3,137.4,498.3
ghsl_5071_cell_00022,14,3,41.56440089947242,2.1808128266128737,1589.0,Industrial,buildings,43.7,108.3,1495.0
ghsl_5071_cell_00023,15,3,41.56440089947242,2.19276248593678,127.1,Residential,buildings,68.5,107.5,1591.9
ghsl_5071_cell_00024,16,3,41.564400899472425,2.2047121452606864,41.0,Residential,buildings,62.9,122.4,1503.8
ghsl_5071_cell_00025,17,3,41.56440089947242,2.216661804584592,1290.2,Industrial,buildings,68.3,86.5,1503.8
ghsl_5071_cell_00026,18,3,41.56440089947242,2.228611463908498,5495.9,Industrial,buildings,3.2,102.2,1503.8
ghsl_5071_cell_00027,19,3,41.56440089947242,2.2405611232324043,2140.3,Industrial,buildings,18.9,84.4,1576.6
ghsl_5071_cell_00028,20,3,41.56440089947242,2.2525107825563104,1544.3,Civic,buildings,21.9,124.7,1584.7
ghsl_5071_cell_00029,21,3,41.564400899472425,2.264460441880217,1716.9,Industrial,buildings,10.5,89.7,712.7
ghsl_5071_cell_00030,22,3,41.56440089947242,2.276410101204123,1694.0,Industrial,buildings,4.2,101.4,498.3
ghsl_5071_cell_00031,5,4,41.55537548918072,2.0730845214978904,2783.4,Commercial,buildings,21.1,239.2,498.3
ghsl_5071_cell_00032,6,4,41.55537548918072,2.08503313545465,11422.5,Civic,buildings,31.0,222.0,1495.0
ghsl_5071_cell_00033,7,4,41.55537548918072,2.0969817494114102,19451.4,Civic,buildings,38.1,204.9,1584.2
ghsl_5071_cell_00034,8,4,41.55537548918072,2.10893036336817,14721.7,Civic,buildings,1.9,202.7,712.3
ghsl_5071_cell_00035,9,4,41.55537548918072,2.1208789773249306,2328.0,Industrial,buildings,33.1,194.7,498.3
ghsl_5071_cell_00036,12,4,41.55537548918072,2.1567248191952113,3136.7,Industrial,buildings,10.2,119.8,498.3
ghsl_5071_cell_00037,13,4,41.55537548918072,2.1686734331519713,598.5,Industrial,buildings,41.1,106.6,701.3
ghsl_5071_cell_00038,14,4,41.55537548918072,2.180622047108731,2786.8,Industrial,buildings,3.8,100.7,1569.5
