cell_id,x,y,centroid_lat,centroid_lon,population,type,type_source,green_cover_pct,building_density_pct,building_density_source,elevation_m,dist_to_boundary_m
ghsl_9558_cell_00000,24,0,13.207584542338191,77.62899722840015,1554.1239102631807,Residential,land_use,4.8,7.4931,overture_buildings,922.3,452.0
ghsl_9558_cell_00001,25,0,13.207584542338195,77.63914149461753,1618.2174969241023,Residential,buildings,2.4,6.7486,overture_buildings,926.7,452.0
ghsl_9558_cell_00002,26,0,13.207584542338195,77.6492857608349,2016.3196140732616,Civic,buildings,5.9,3.9454,overture_buildings,914.0,452.0
ghsl_9558_cell_00003,24,1,13.199413518112703,77.62739267444191,1360.8775947988033,Residential,land_use,6.4,3.2018,overture_buildings,905.2,539.9
ghsl_9558_cell_00004,25,1,13.199413518112701,77.63753673098219,2485.2235275767744,Residential,buildings,2.0,6.3521,overture_buildings,919.7,539.9
ghsl_9558_cell_00005,17,2,13.191242598348731,77.55478227705262,1800.6105066463351,Residential,land_use,0.1,2.27,overture_buildings,890.3,452.0
ghsl_9558_cell_00006,23,2,13.191242598348733,77.6156453590829,1810.9009124860168,Civic,buildings,45.9,1.9087,overture_buildings,915.6,452.0
ghsl_9558_cell_00007,24,2,13.191242598348731,77.62578920608796,5466.104581519961,Residential,buildings,11.7,9.6591,overture_buildings,915.5,647.0
ghsl_9558_cell_00008,25,2,13.191242598348733,77.63593305309298,2133.955175627023,Industrial,buildings,8.4,4.4541,overture_buildings,913.1,539.9
ghsl_9558_cell_00009,14,3,13.183071782976917,77.52275044702819,1976.0506654530764,Residential,land_use,0.0,3.0942,overture_buildings,884.7,452.0
ghsl_9558_cell_00010,15,3,13.183071782976919,77.53289408463984,707.2693451419473,Residential,land_use,0.0,1.2667,overture_buildings,883.0,452.0
ghsl_9558_cell_00011,16,3,13.183071782976919,77.54303772225147,1778.7154468223453,Residential,land_use,1.3,3.4814,overture_buildings,896.9,452.0
ghsl_9558_cell_00012,17,3,13.183071782976917,77.5531813598631,3274.8223577290773,Residential,land_use,0.1,5.835,overture_buildings,896.0,647.1
ghsl_9558_cell_00013,18,3,13.183071782976917,77.56332499747475,2592.3562330007553,Residential,land_use,5.9,6.5398,overture_buildings,910.9,452.0
ghsl_9558_cell_00014,22,3,13.183071782976919,77.60389954792137,474.19735322892666,Residential,land_use,8.7,0.371,overture_buildings,921.8,452.0
ghsl_9558_cell_00015,23,3,13.18307178297692,77.61404318553302,1596.7598987147212,Green,land_use,61.1,2.1734,overture_buildings,905.2,647.0
ghsl_9558_cell_00016,24,3,13.18307178297692,77.62418682314465,1479.958258755505,Civic,buildings,17.3,2.5814,overture_buildings,899.2,1386.4
ghsl_9558_cell_00017,25,3,13.183071782976919,77.63433046075632,3402.893104568124,Industrial,buildings,6.3,7.5744,overture_buildings,895.9,780.8
ghsl_9558_cell_00018,26,3,13.183071782976917,77.64447409836797,4913.708594784141,Residential,buildings,17.3,8.6018,overture_buildings,907.2,452.0
ghsl_9558_cell_00019,14,4,13.174901071927911,77.52115124181798,1596.5222138687968,Residential,land_use,0.0,2.9523,overture_buildings,891.6,452.0
ghsl_9558_cell_00020,15,4,13.174901071927907,77.53129467017803,2229.074303455651,Industrial,land_use,6.9,4.3701,overture_buildings,891.7,780.6
ghsl_9558_cell_00021,16,4,13.174901071927911,77.5414380985381,2157.670660048723,Industrial,land_use,21.1,3.7199,overture_buildings,899.4,1356.0
ghsl_9558_cell_00022,17,4,13.174901071927907,77.55158152689816,3385.9055631309748,Residential,land_use,3.1,5.1525,overture_buildings,905.7,1386.5
ghsl_9558_cell_00023,18,4,13.17490107192791,77.56172495525824,9893.94120311737,Residential,buildings,4.3,9.1613,overture_buildings,921.7,780.7
ghsl_9558_cell_00024,19,4,13.174901071927907,77.5718683836183,5807.771071754396,Residential,land_use,40.4,5.6305,overture_buildings,922.1,452.0
ghsl_9558_cell_00025,20,4,13.174901071927907,77.58201181197835,1823.428344734013,Residential,land_use,29.0,2.7817,overture_buildings,929.9,452.0
ghsl_9558_cell_00026,21,4,13.17490107192791,77.59215524033846,1581.7297614142299,Agricultural,buildings,37.2,3.6185,overture_buildings,915.1,452.0
ghsl_9558_cell_00027,22,4,13.174901071927911,77.6022986686985,626.3163309618831,Residential,land_use,0.0,1.0884,overture_buildings,925.2,647.1
ghsl_9558_cell_00028,23,4,13.174901071927907,77.61244209705856,253.76465156674385,Residential,land_use,25.3,0.4446,overture_buildings,922.7,1386.5
ghsl_9558_cell_00029,24,4,13.17490107192791,77.62258552541863,1239.6438311636448,Residential,land_use,12.4,2.1052,overture_buildings,911.8,1941.1
ghsl_9558_cell_00030,25,4,13.174901071927907,77.63272895377871,6014.068411901593,Residential,buildings,0.7,4.98,overture_buildings,894.9,1579.6
ghsl_9558_cell_00031,26,4,13.174901071927913,77.64287238213879,756.4283913373947,Industrial,buildings,23.6,1.5811,overture_buildings,892.2,780.7
ghsl_9558_cell_00032,27,4,13.174901071927907,77.65301581049886,3362.9479070156813,Green,land_use,58.4,2.9358,overture_buildings,894.6,452.0
ghsl_9558_cell_00033,15,5,13.166730465132364,77.52969633946414,2408.065758191049,Civic,buildings,55.7,4.4838,overture_buildings,890.3,540.0
ghsl_9558_cell_00034,16,5,13.166730465132362,77.5398395587144,1662.3332465738058,Civic,buildings,23.1,3.4427,overture_buildings,893.0,1355.8
ghsl_9558_cell_00035,17,5,13.166730465132364,77.54998277796467,1324.9730684012175,Residential,land_use,11.2,1.7688,overture_buildings,916.5,1355.9
ghsl_9558_cell_00036,18,5,13.166730465132364,77.56012599721495,4094.097676381469,Civic,buildings,3.3,7.5357,overture_buildings,924.8,1579.2
ghsl_9558_cell_00037,19,5,13.166730465132362,77.5702692164652,1917.356236614287,Industrial,land_use,8.3,3.2778,overture_buildings,907.0,1355.9
ghsl_9558_cell_00038,20,5,13.166730465132364,77.5804124357155,1006.9213488996029,Green,land_use,45.8,1.8333,overture_buildings,910.4,1355.9
ghsl_9558_cell_00039,21,5,13.166730465132362,77.59055565496575,911.1898668780923,Civic,land_use,36.2,3.2587,overture_buildings,924.5,1355.9
ghsl_9558_cell_00040,22,5,13.166730465132362,77.60069887421602,1125.065238893032,Residential,land_use,12.4,2.823,overture_buildings,923.4,1386.5
ghsl_9558_cell_00041,23,5,13.166730465132366,77.6108420934663,2136.4327210113406,Residential,buildings,92.7,2.6384,overture_buildings,908.8,1941.3
ghsl_9558_cell_00042,24,5,13.166730465132364,77.62098531271658,957.9580648764968,Office,buildings,2.6,2.1607,overture_buildings,905.3,2566.0
ghsl_9558_cell_00043,25,5,13.166730465132364,77.63112853196688,12341.12736108154,Residential,buildings,4.5,10.7199,overture_buildings,914.8,2342.1
ghsl_9558_cell_00044,26,5,13.166730465132366,77.64127175121713,5019.492806658149,Residential,buildings,0.4,3.7808,overture_buildings,957.6,1579.5
ghsl_9558_cell_00045,27,5,13.166730465132364,77.65141497046741,4988.607605241239,Residential,land_use,29.2,5.275,overture_buildings,898.5,780.7
ghsl_9558_cell_00046,28,5,13.166730465132364,77.66155818971768,1862.2410590872169,Residential,land_use,11.0,5.3326,overture_buildings,905.2,452.0
ghsl_9558_cell_00047,29,5,13.166730465132364,77.67170140896795,1668.4990900605917,Civic,buildings,34.5,2.4505,overture_buildings,890.7,452.0
ghsl_9558_cell_00048,30,5,13.166730465132362,77.68184462821822,1955.6236596927047,Residential,land_use,6.6,3.7371,overture_buildings,895.2,452.0
ghsl_9558_cell_00049,15,6,13.158559962520943,77.5280990923052,1598.1440852954984,Residential,land_use,5.1,1.9834,overture_buildings,895.7,451.9
ghsl_9558_cell_00050,16,6,13.158559962520942,77.53824210258745,1339.0105275958776,Green,land_use,55.7,3.2392,overture_buildings,907.9,451.9
