cell_id,x,y,centroid_lat,centroid_lon,population,type,type_source,green_cover_pct,elevation_m,dist_to_boundary_m
ghsl_698_cell_00000,6,0,55.798716538591044,12.444079962638227,1657.8,Residential,buildings,0.3,29.8,445.9
ghsl_698_cell_00001,7,0,55.79871653859105,12.458391727977657,2698.5,Residential,buildings,1.3,32.5,559.0
ghsl_698_cell_00002,8,0,55.79871653859105,12.472703493317095,1693.2,Residential,buildings,4.9,29.2,559.2
ghsl_698_cell_00003,9,0,55.79871653859106,12.48701525865653,2216.9,Residential,buildings,54.0,25.8,559.2
ghsl_698_cell_00004,10,0,55.79871653859105,12.501327023995962,1061.5,Residential,buildings,12.5,44.3,559.1
ghsl_698_cell_00005,11,0,55.79871653859105,12.515638789335396,2202.0,Residential,buildings,11.9,24.9,445.8
ghsl_698_cell_00006,6,1,55.788685892739714,12.442045763765696,504.7,Residential,buildings,20.2,18.5,445.9
ghsl_698_cell_00007,7,1,55.78868589273971,12.456355189600963,2392.8,Residential,buildings,24.1,45.4,1337.8
ghsl_698_cell_00008,8,1,55.7886858927397,12.470664615436228,4658.7,Residential,buildings,9.0,39.9,1676.0
ghsl_698_cell_00009,9,1,55.78868589273969,12.484974041271498,2995.5,Residential,buildings,6.5,43.3,1676.0
ghsl_698_cell_00010,10,1,55.78868589273971,12.499283467106766,682.0,Residential,buildings,3.7,25.6,1517.1
ghsl_698_cell_00011,11,1,55.7886858927397,12.513592892942032,3188.1,Civic,buildings,24.3,32.4,758.2
ghsl_698_cell_00012,12,1,55.788685892739714,12.527902318777304,2179.3,Civic,buildings,3.0,41.1,445.9
ghsl_698_cell_00013,6,2,55.77865619014363,12.440012876509538,58.7,Residential,buildings,32.4,65.8,446.0
ghsl_698_cell_00014,7,2,55.77865619014362,12.454319964349109,148.1,Agricultural,buildings,10.6,27.5,758.0
ghsl_698_cell_00015,8,2,55.778656190143614,12.46862705218868,1490.0,Residential,buildings,2.9,28.7,1517.0
ghsl_698_cell_00016,9,2,55.77865619014363,12.48293414002826,1132.2,Residential,buildings,7.6,26.1,2374.9
ghsl_698_cell_00017,10,2,55.77865619014362,12.497241227867832,1084.0,Residential,buildings,46.5,32.6,2229.7
ghsl_698_cell_00018,11,2,55.77865619014363,12.511548315707405,3824.9,Civic,buildings,53.7,40.9,1337.8
ghsl_698_cell_00019,12,2,55.77865619014363,12.525855403546979,1658.2,Civic,buildings,21.2,38.4,445.9
ghsl_698_cell_00020,7,3,55.76862743028853,12.452286050944029,1276.0,Residential,buildings,15.6,25.2,446.0
ghsl_698_cell_00021,8,3,55.76862743028854,12.466590802294915,571.9,Residential,buildings,37.9,16.5,1338.0
ghsl_698_cell_00022,9,3,55.76862743028854,12.480895553645798,2137.9,Residential,buildings,0.8,27.8,2230.0
ghsl_698_cell_00023,10,3,55.76862743028853,12.495200304996684,3962.3,Residential,buildings,7.9,29.9,2375.2
ghsl_698_cell_00024,11,3,55.76862743028854,12.509505056347564,4839.4,Residential,buildings,5.4,28.4,1517.3
ghsl_698_cell_00025,12,3,55.76862743028854,12.52380980769845,995.2,Residential,buildings,40.7,28.3,758.2
ghsl_698_cell_00026,13,3,55.76862743028854,12.538114559049331,562.9,Residential,buildings,60.6,32.7,446.0
ghsl_698_cell_00027,16,3,55.76862743028854,12.581028813101982,3059.9,Residential,buildings,17.7,9.7,446.0
ghsl_698_cell_00028,17,3,55.76862743028854,12.595333564452867,1467.1,Civic,buildings,3.4,4.8,558.5
ghsl_698_cell_00029,18,3,55.768627430288525,12.609638315803746,0.0,Residential,heuristic,0.0,0.0,445.9
ghsl_698_cell_00030,7,4,55.75859961266059,12.450253448109416,3859.5,Residential,buildings,4.0,29.0,446.1
ghsl_698_cell_00031,8,4,55.75859961266059,12.464555864477147,4668.9,Residential,buildings,4.8,31.4,1338.2
ghsl_698_cell_00032,9,4,55.758599612660575,12.478858280844877,5117.8,Residential,buildings,4.4,28.9,2230.2
ghsl_698_cell_00033,10,4,55.758599612660575,12.493160697212609,4352.3,Residential,buildings,2.8,33.3,2956.9
ghsl_698_cell_00034,11,4,55.75859961266059,12.507463113580336,1659.9,Commercial,buildings,52.0,39.9,2274.6
ghsl_698_cell_00035,12,4,55.75859961266059,12.521765529948068,2324.9,Residential,buildings,6.9,34.7,1517.4
ghsl_698_cell_00036,13,4,55.75859961266058,12.536067946315796,3183.7,Residential,buildings,10.0,15.6,758.2
ghsl_698_cell_00037,14,4,55.75859961266058,12.550370362683529,1408.9,Commercial,buildings,60.4,20.4,558.3
ghsl_698_cell_00038,15,4,55.75859961266059,12.564672779051259,4836.9,Utility,buildings,3.5,17.7,558.3
ghsl_698_cell_00039,16,4,55.758599612660575,12.578975195418991,5449.9,Residential,buildings,4.2,14.2,677.8
ghsl_698_cell_00040,17,4,55.758599612660575,12.593277611786721,2864.4,Civic,buildings,3.1,15.4,677.8
ghsl_698_cell_00041,18,4,55.758599612660575,12.607580028154448,39.3,Residential,heuristic,0.4,0.0,446.0
ghsl_698_cell_00042,6,5,55.74857273674634,12.433922071682046,419.2,Residential,buildings,53.6,25.8,446.1
ghsl_698_cell_00043,7,5,55.74857273674635,12.4482221545707,1711.8,Residential,buildings,42.2,25.4,678.2
ghsl_698_cell_00044,8,5,55.74857273674633,12.46252223745935,2828.3,Residential,buildings,14.7,34.5,1399.3
ghsl_698_cell_00045,9,5,55.74857273674634,12.476822320348003,3254.2,Residential,buildings,1.6,35.5,2251.4
ghsl_698_cell_00046,10,5,55.74857273674634,12.491122403236652,3937.7,Residential,buildings,7.6,30.9,3129.3
ghsl_698_cell_00047,11,5,55.74857273674633,12.505422486125303,4087.4,Residential,buildings,8.1,31.0,2957.2
ghsl_698_cell_00048,12,5,55.74857273674633,12.519722569013952,3286.1,Residential,buildings,19.1,29.8,2274.7
ghsl_698_cell_00049,13,5,55.74857273674635,12.534022651902609,1258.3,Residential,buildings,27.4,15.5,1793.3
ghsl_698_cell_00050,14,5,55.74857273674634,12.548322734791256,2968.9,Residential,buildings,8.2,24.8,1674.6
ghsl_698_cell_00051,15,5,55.74857273674633,12.562622817679907,4639.9,Civic,buildings,0.7,9.4,1674.6
ghsl_698_cell_00052,16,5,55.74857273674633,12.57692290056856,1891.1,Residential,buildings,83.3,21.0,1338.1
ghsl_698_cell_00053,17,5,55.74857273674634,12.59122298345721,417.7,Residential,buildings,8.4,0.0,446.0
ghsl_698_cell_00054,1,6,55.738546802032815,12.360405663581986,2084.9,Residential,buildings,28.8,39.8,446.2
