cell_id,x,y,centroid_lat,centroid_lon,population,type,type_source,green_cover_pct,elevation_m,dist_to_boundary_m
ghsl_5816_cell_00000,43,0,51.77920168226846,-0.006734004194715008,4032.4,Residential,buildings,31.1,37.1,464.8
ghsl_5816_cell_00001,42,1,51.769517534106235,-0.020199272541660027,2350.5,Utility,buildings,17.1,63.5,464.8
ghsl_5816_cell_00002,43,1,51.76951753410623,-0.006733090847220007,7123.0,Residential,buildings,10.9,37.4,711.5
ghsl_5816_cell_00003,44,1,51.76951753410623,0.006733090847220007,1438.7,Residential,buildings,22.0,29.9,464.8
ghsl_5816_cell_00004,42,2,51.75983415029584,-0.020196534065811882,2455.3,Residential,buildings,44.1,51.4,464.8
ghsl_5816_cell_00005,43,2,51.75983415029584,-0.006732178021937294,2686.3,Commercial,buildings,6.9,35.4,711.5
ghsl_5816_cell_00006,44,2,51.75983415029584,0.006732178021937294,522.0,Industrial,buildings,0.2,29.5,464.8
ghsl_5816_cell_00007,42,3,51.75015153046372,-0.020193797155293822,3202.9,Residential,buildings,8.6,47.4,464.9
ghsl_5816_cell_00008,43,3,51.75015153046371,-0.006731265718431274,1140.3,Residential,buildings,2.7,26.3,464.9
ghsl_5816_cell_00009,42,4,51.74046967423655,-0.020191061808800606,3407.6,Residential,buildings,19.7,33.4,464.9
ghsl_5816_cell_00010,41,5,51.730788581241384,-0.03364721337504755,157.3,Civic,buildings,100.0,36.4,464.9
ghsl_5816_cell_00011,42,5,51.73078858124138,-0.02018832802502853,4203.8,Residential,buildings,2.0,26.8,464.9
ghsl_5816_cell_00012,38,6,51.72110825110542,-0.07401385127647672,3260.8,Residential,buildings,9.3,87.9,465.0
ghsl_5816_cell_00013,39,6,51.72110825110542,-0.06055678740802642,3198.8,Residential,buildings,51.5,78.2,538.7
ghsl_5816_cell_00014,40,6,51.72110825110541,-0.0470997235395761,39.4,Green,land_use,100.0,44.3,538.6
ghsl_5816_cell_00015,41,6,51.72110825110542,-0.033642659671125785,3813.4,Commercial,buildings,8.8,32.5,711.6
ghsl_5816_cell_00016,42,6,51.721108251105406,-0.02018559580267547,2931.1,Residential,buildings,0.5,29.0,465.0
ghsl_5816_cell_00017,39,7,51.71142868345618,-0.0605485954213225,5065.6,Civic,buildings,20.1,45.0,465.0
ghsl_5816_cell_00018,40,7,51.711428683456184,-0.04709335199436195,4979.0,Residential,buildings,7.0,39.4,1395.0
ghsl_5816_cell_00019,41,7,51.71142868345618,-0.0336381085674014,7568.5,Residential,buildings,4.6,27.2,1395.0
ghsl_5816_cell_00020,42,7,51.711428683456184,-0.02018286514044084,635.5,Industrial,buildings,100.0,20.5,465.0
ghsl_5816_cell_00021,12,8,51.70174987792143,-0.42378285677753713,3592.5,Residential,buildings,13.6,117.5,465.0
ghsl_5816_cell_00022,13,8,51.70174987792143,-0.4103294327528534,4493.9,Residential,buildings,17.7,113.1,538.6
ghsl_5816_cell_00023,14,8,51.70174987792142,-0.39687600872816964,3236.0,Residential,buildings,22.4,94.1,465.0
ghsl_5816_cell_00024,39,8,51.701749877921415,-0.06054040811107673,1787.6,Residential,buildings,32.6,50.1,465.0
ghsl_5816_cell_00025,40,8,51.701749877921436,-0.04708698408639301,3540.4,Residential,buildings,23.7,35.0,711.3
ghsl_5816_cell_00026,41,8,51.70174987792142,-0.0336335600617093,6386.7,Residential,buildings,10.7,30.8,1495.3
ghsl_5816_cell_00027,42,8,51.70174987792143,-0.020180136037025575,819.6,Residential,buildings,5.2,27.2,711.4
ghsl_5816_cell_00028,43,8,51.70174987792143,-0.0067267120123418594,80.9,Civic,buildings,38.8,24.8,465.0
ghsl_5816_cell_00029,12,9,51.69207183412926,-0.42372557831377616,1378.2,Industrial,buildings,22.8,108.4,465.1
ghsl_5816_cell_00030,13,9,51.69207183412925,-0.41027397265302135,4129.2,Utility,buildings,9.5,95.6,1395.2
ghsl_5816_cell_00031,14,9,51.69207183412926,-0.39682236699226653,4956.5,Residential,buildings,14.1,96.8,710.2
ghsl_5816_cell_00032,15,9,51.69207183412926,-0.3833707613315117,4704.4,Residential,buildings,13.6,70.0,465.1
ghsl_5816_cell_00033,40,9,51.692071834129266,-0.04708061981264179,256.3,Office,buildings,18.7,28.9,465.1
ghsl_5816_cell_00034,41,9,51.692071834129266,-0.033629014151886995,6704.8,Residential,buildings,1.6,24.8,1395.2
ghsl_5816_cell_00035,42,9,51.69207183412927,-0.020177408491132198,997.7,Residential,buildings,18.3,19.5,1495.4
ghsl_5816_cell_00036,43,9,51.69207183412927,-0.006725802830377399,631.7,Civic,buildings,93.3,26.6,711.4
ghsl_5816_cell_00037,44,9,51.69207183412926,0.006725802830377399,2900.8,Residential,buildings,8.1,27.8,538.5
ghsl_5816_cell_00038,45,9,51.69207183412927,0.0201774084911322,2896.7,Residential,buildings,44.5,29.8,538.6
ghsl_5816_cell_00039,46,9,51.692071834129266,0.03362901415188699,1542.9,Residential,buildings,52.0,57.0,465.1
ghsl_5816_cell_00040,12,10,51.68239455170799,-0.4236683325307594,2939.5,Residential,buildings,5.6,102.4,465.1
ghsl_5816_cell_00041,13,10,51.68239455170799,-0.41021854419644954,4731.0,Residential,buildings,15.3,100.2,1395.3
ghsl_5816_cell_00042,14,10,51.68239455170799,-0.3967687558621398,4471.3,Residential,buildings,17.0,82.8,1395.3
ghsl_5816_cell_00043,15,10,51.68239455170799,-0.3833189675278299,5728.7,Residential,buildings,9.6,68.3,465.1
ghsl_5816_cell_00044,40,10,51.682394551708,-0.04707425917008438,3640.9,Residential,buildings,4.7,27.3,465.1
ghsl_5816_cell_00045,41,10,51.682394551708,-0.03362447083577456,5874.7,Residential,buildings,8.0,23.5,1395.3
ghsl_5816_cell_00046,42,10,51.68239455170799,-0.02017468250146473,2092.9,Industrial,buildings,2.8,20.5,1495.7
