cell_id,x,y,centroid_lat,centroid_lon,population,type,type_source,green_cover_pct,building_density_pct,building_density_source,elevation_m,dist_to_boundary_m
ghsl_7599_cell_00000,2,0,19.320700701201197,72.85140219057631,1696.0146004259586,Residential,buildings,1.0,1.1911,overture_buildings,0.0,457.7
ghsl_7599_cell_00001,3,0,19.320700701201194,72.86174379071691,434.1208120882511,Residential,heuristic,0.5,0.2222,overture_buildings,0.0,457.7
ghsl_7599_cell_00002,22,0,19.320700701201194,73.05823419338866,2209.05017516762,Industrial,land_use,0.0,12.4881,overture_buildings,19.3,457.7
ghsl_7599_cell_00003,23,0,19.320700701201197,73.06857579352929,3537.4939170591533,Residential,heuristic,0.0,9.2593,overture_buildings,15.5,457.7
ghsl_7599_cell_00004,24,0,19.320700701201197,73.07891739366988,1981.1654075235128,Industrial,land_use,0.0,12.2083,overture_buildings,12.7,457.7
ghsl_7599_cell_00005,1,1,19.312431944369294,72.83878036444486,108.26029849052429,Agricultural,buildings,1.9,0.1122,overture_buildings,2.7,457.7
ghsl_7599_cell_00006,2,1,19.312431944369294,72.84912164085068,21570.083315115422,Residential,buildings,4.5,11.7761,overture_buildings,3.1,623.6
ghsl_7599_cell_00007,3,1,19.312431944369294,72.85946291725651,52445.42924168706,Residential,buildings,1.7,33.4949,overture_buildings,8.5,805.8
ghsl_7599_cell_00008,4,1,19.31243194436929,72.86980419366233,3255.9463762044907,Residential,land_use,2.6,3.6502,overture_buildings,0.0,457.7
ghsl_7599_cell_00009,21,1,19.312431944369294,73.0456058925614,3351.604036759585,Industrial,land_use,0.0,24.7105,overture_buildings,7.4,457.7
ghsl_7599_cell_00010,22,1,19.312431944369294,73.05594716896722,7626.48932415247,Industrial,land_use,0.7,23.4702,overture_buildings,6.1,623.4
ghsl_7599_cell_00011,23,1,19.31243194436929,73.06628844537305,15477.090136051178,Residential,land_use,0.0,20.5424,overture_buildings,13.6,1373.0
ghsl_7599_cell_00012,24,1,19.312431944369294,73.07662972177889,4697.553831567988,Residential,heuristic,0.0,17.1431,overture_buildings,11.7,525.6
ghsl_7599_cell_00013,0,2,19.304163346930515,72.82616036132357,724.2098474577069,Residential,buildings,0.0,1.0411,overture_buildings,2.7,457.7
ghsl_7599_cell_00014,1,2,19.304163346930515,72.83650131416152,691.152786180377,Agricultural,buildings,0.0,1.384,overture_buildings,1.5,623.7
ghsl_7599_cell_00015,2,2,19.304163346930515,72.84684226699947,45575.79342773557,Residential,buildings,3.5,26.7109,overture_buildings,6.4,1372.9
ghsl_7599_cell_00016,3,2,19.304163346930515,72.85718321983742,85427.60708618164,Residential,buildings,2.0,42.2597,overture_buildings,7.1,1643.0
ghsl_7599_cell_00017,4,2,19.304163346930515,72.8675241726754,71612.86356382072,Residential,buildings,4.8,18.4731,overture_buildings,3.4,805.8
ghsl_7599_cell_00018,5,2,19.304163346930515,72.87786512551335,4436.134336661547,Residential,buildings,0.0,2.9455,overture_buildings,3.0,457.7
ghsl_7599_cell_00019,21,2,19.304163346930515,73.04332037092067,3081.2956155184656,Industrial,land_use,0.0,12.1829,overture_buildings,5.0,525.4
ghsl_7599_cell_00020,22,2,19.304163346930515,73.05366132375865,20585.36220932007,Residential,buildings,0.0,24.7517,overture_buildings,5.9,1385.1
ghsl_7599_cell_00021,23,2,19.304163346930515,73.0640022765966,30558.162921905518,Utility,buildings,0.0,29.0375,overture_buildings,19.6,1809.2
ghsl_7599_cell_00022,24,2,19.304163346930515,73.07434322943456,20328.106632232666,Residential,heuristic,0.0,27.6039,overture_buildings,17.8,806.1
ghsl_7599_cell_00023,25,2,19.304163346930512,73.0846841822725,8952.078734964132,Residential,heuristic,0.0,15.7473,overture_buildings,34.2,457.7
ghsl_7599_cell_00024,0,3,19.295894908805735,72.82388280984446,5349.835380092263,Residential,buildings,4.6,9.6788,overture_buildings,2.8,457.6
ghsl_7599_cell_00025,1,3,19.295894908805735,72.83422343928142,2260.4116004519165,Residential,land_use,0.2,5.8768,overture_buildings,2.2,457.6
ghsl_7599_cell_00026,2,3,19.295894908805735,72.84456406871838,57437.04582923651,Residential,buildings,15.3,19.383,overture_buildings,5.2,457.6
ghsl_7599_cell_00027,3,3,19.295894908805728,72.85490469815535,96625.86206054688,Residential,buildings,0.9,26.6063,overture_buildings,5.1,805.7
ghsl_7599_cell_00028,4,3,19.295894908805735,72.86524532759232,122938.08053588867,Residential,buildings,7.1,26.6669,overture_buildings,4.6,1643.0
ghsl_7599_cell_00029,5,3,19.295894908805728,72.8755859570293,66602.60875967145,Residential,buildings,10.0,17.364,overture_buildings,4.4,805.7
ghsl_7599_cell_00030,6,3,19.295894908805735,72.88592658646625,1464.9799439534545,Civic,buildings,2.2,3.1551,overture_buildings,2.0,457.7
ghsl_7599_cell_00031,7,3,19.295894908805735,72.89626721590321,315.69179156050086,Residential,land_use,0.0,0.8328,overture_buildings,0.0,457.7
ghsl_7599_cell_00032,8,3,19.295894908805728,72.9066078453402,1595.709724061191,Industrial,land_use,0.0,4.8181,overture_buildings,4.0,457.7
ghsl_7599_cell_00033,21,3,19.295894908805735,73.04103602802076,9835.760102674365,Industrial,land_use,0.0,26.5653,overture_buildings,10.6,525.3
ghsl_7599_cell_00034,22,3,19.295894908805728,73.05137665745775,26236.241686813533,Civic,buildings,1.5,27.2747,overture_buildings,17.2,1576.6
ghsl_7599_cell_00035,23,3,19.295894908805735,73.06171728689472,27409.140159606934,Office,buildings,0.1,25.0103,overture_buildings,15.0,2418.1
ghsl_7599_cell_00036,24,3,19.295894908805735,73.07205791633169,27664.98074913025,Residential,heuristic,0.0,30.0359,overture_buildings,20.1,1643.7
ghsl_7599_cell_00037,25,3,19.295894908805735,73.08239854576864,21468.326894760132,Industrial,land_use,0.0,29.4183,overture_buildings,30.0,806.0
ghsl_7599_cell_00038,26,3,19.295894908805728,73.09273917520561,84.6084358394146,Residential,heuristic,0.0,0.4415,overture_buildings,138.1,457.6
ghsl_7599_cell_00039,3,4,19.287626629915852,72.85262735190612,23926.398516356945,Residential,buildings,37.8,10.3177,overture_buildings,2.6,457.6
ghsl_7599_cell_00040,4,4,19.28762662991585,72.86296765810894,120149.78645324707,Residential,buildings,9.1,28.0146,overture_buildings,5.8,805.7
ghsl_7599_cell_00041,5,4,19.287626629915856,72.87330796431178,96641.70891490579,Residential,buildings,13.4,20.1159,overture_buildings,6.2,1643.0
ghsl_7599_cell_00042,6,4,19.287626629915852,72.88364827051457,40906.911336869,Residential,buildings,7.6,12.0525,overture_buildings,4.9,1372.9
ghsl_7599_cell_00043,7,4,19.287626629915856,72.89398857671738,4582.051775917411,Residential,buildings,2.0,6.7589,overture_buildings,44.5,1373.0
ghsl_7599_cell_00044,8,4,19.287626629915856,72.90432888292018,5529.095396190882,Industrial,buildings,2.7,3.6855,overture_buildings,0.0,805.7
ghsl_7599_cell_00045,9,4,19.28762662991585,72.914669189123,0.0,Unbuilt,heuristic,0.0,0.0,overture_buildings,26.0,457.6
ghsl_7599_cell_00046,12,4,19.287626629915852,72.94569010773144,3356.1327532231808,Residential,buildings,29.0,5.8035,overture_buildings,2.0,457.6
ghsl_7599_cell_00047,13,4,19.28762662991585,72.95603041393426,19774.929449900985,Residential,buildings,100.0,4.017,overture_buildings,1.6,457.7
