cell_id,x,y,centroid_lat,centroid_lon,population,type,type_source,green_cover_pct,elevation_m,dist_to_boundary_m
ghsl_8099_cell_00000,69,0,41.01470552782573,-74.14372197894693,1764.9,Residential,land_use,0.6,101.8,441.0
ghsl_8099_cell_00001,70,0,41.014705527825726,-74.1318352098922,1622.9,Civic,land_use,12.2,79.1,499.9
ghsl_8099_cell_00002,71,0,41.01470552782573,-74.11994844083745,2303.8,Residential,land_use,0.3,88.0,499.8
ghsl_8099_cell_00003,72,0,41.014705527825726,-74.1080616717827,1767.4,Residential,land_use,4.6,75.0,441.1
ghsl_8099_cell_00004,91,0,41.014705527825726,-73.88221305974261,1058.9,Residential,heuristic,3.7,0.0,441.4
ghsl_8099_cell_00005,92,0,41.01470552782573,-73.87032629068788,2979.0,Civic,land_use,4.8,53.5,499.9
ghsl_8099_cell_00006,93,0,41.01470552782574,-73.85843952163314,2631.6,Civic,land_use,11.9,68.0,499.8
ghsl_8099_cell_00007,94,0,41.014705527825726,-73.84655275257838,1604.7,Civic,land_use,10.6,38.9,441.4
ghsl_8099_cell_00008,69,1,41.005708486211645,-74.13738277635869,1850.6,Residential,heuristic,0.0,96.2,441.1
ghsl_8099_cell_00009,70,1,41.00570848621164,-74.12549702360897,1514.6,Residential,land_use,4.4,68.2,1330.7
ghsl_8099_cell_00010,71,1,41.005708486211645,-74.11361127085924,1528.4,Residential,land_use,2.3,68.4,914.9
ghsl_8099_cell_00011,72,1,41.005708486211645,-74.10172551810955,1532.5,Residential,land_use,0.1,41.9,441.1
ghsl_8099_cell_00012,90,1,41.005708486211645,-73.88778196861463,411.4,Residential,land_use,0.0,0.0,441.4
ghsl_8099_cell_00013,91,1,41.005708486211645,-73.87589621586491,1584.8,Residential,land_use,0.1,107.4,914.2
ghsl_8099_cell_00014,92,1,41.005708486211645,-73.86401046311519,784.5,Residential,heuristic,4.4,120.8,1499.0
ghsl_8099_cell_00015,93,1,41.00570848621164,-73.85212471036549,1133.8,Residential,heuristic,5.7,56.1,1324.4
ghsl_8099_cell_00016,94,1,41.00570848621164,-73.84023895761575,1791.9,Residential,heuristic,6.2,98.2,441.5
