cell_id,x,y,centroid_lat,centroid_lon,population,type,type_source,green_cover_pct,elevation_m,dist_to_boundary_m
ghsl_2878_cell_00000,10,0,49.048795181926316,2.2012285735948134,3000.7,Residential,land_use,6.4,93.0,474.6
ghsl_2878_cell_00001,10,1,49.039314714056374,2.2009640318112274,1515.4,Green,land_use,52.7,86.1,474.6
ghsl_2878_cell_00002,11,1,49.039314714056374,2.213949070346987,3537.9,Residential,land_use,6.9,103.5,474.6
ghsl_2878_cell_00003,10,2,49.0298349139852,2.2006996311811484,826.2,Commercial,land_use,30.7,72.2,474.6
ghsl_2878_cell_00004,11,2,49.02983491398519,2.213683109831184,3748.4,Residential,land_use,15.5,89.5,715.9
ghsl_2878_cell_00005,12,2,49.02983491398519,2.226666588481221,2389.9,Utility,land_use,8.5,114.7,474.6
ghsl_2878_cell_00006,9,3,49.02035578140574,2.187453452001359,1765.9,Industrial,land_use,8.3,70.4,474.7
ghsl_2878_cell_00007,10,3,49.02035578140574,2.2004353715978064,3412.0,Civic,land_use,21.8,70.9,702.9
ghsl_2878_cell_00008,11,3,49.02035578140573,2.2134172911942533,4524.0,Civic,land_use,7.9,74.5,1509.6
ghsl_2878_cell_00009,12,3,49.020355781405726,2.2263992107907007,5189.2,Residential,land_use,2.0,80.1,715.9
ghsl_2878_cell_00010,13,3,49.02035578140574,2.239381130387148,4871.7,Civic,land_use,2.5,93.0,527.1
ghsl_2878_cell_00011,14,3,49.02035578140574,2.252363049983595,2543.7,Civic,land_use,0.8,115.6,474.7
ghsl_2878_cell_00012,24,3,49.020355781405726,2.382182245948067,3242.3,Residential,land_use,5.4,108.3,474.7
ghsl_2878_cell_00013,8,4,49.01087731601112,2.1742105302058228,371.3,Industrial,land_use,0.5,72.1,474.7
ghsl_2878_cell_00014,9,4,49.01087731601111,2.1871908915801854,1874.2,Utility,land_use,0.5,55.8,703.0
ghsl_2878_cell_00015,10,4,49.01087731601111,2.200171252954549,4489.0,Residential,land_use,1.9,63.9,1509.7
ghsl_2878_cell_00016,11,4,49.01087731601112,2.213151614328912,2898.8,Green,land_use,65.4,67.9,2108.8
ghsl_2878_cell_00017,12,4,49.01087731601111,2.226131975703275,826.4,Green,land_use,68.9,74.9,1659.6
ghsl_2878_cell_00018,13,4,49.01087731601111,2.2391123370776382,2944.1,Civic,land_use,9.4,79.1,1528.0
ghsl_2878_cell_00019,14,4,49.01087731601111,2.2520926984520013,4307.2,Civic,land_use,3.7,74.3,716.0
ghsl_2878_cell_00020,15,4,49.01087731601112,2.2650730598263644,2845.8,Civic,land_use,1.1,85.0,474.7
ghsl_2878_cell_00021,23,4,49.01087731601111,2.368915950821269,1792.4,Utility,land_use,5.9,79.1,474.7
ghsl_2878_cell_00022,24,4,49.01087731601112,2.3818963121956322,3179.4,Civic,land_use,3.4,107.4,702.4
ghsl_2878_cell_00023,25,4,49.01087731601111,2.3948766735699953,5397.4,Civic,land_use,19.3,89.8,474.7
ghsl_2878_cell_00024,6,5,49.00139951749467,2.1479920592122177,2954.6,Civic,land_use,3.1,68.4,474.8
ghsl_2878_cell_00025,7,5,49.00139951749467,2.160970863195373,2466.0,Green,land_use,55.1,69.1,527.0
ghsl_2878_cell_00026,8,5,49.00139951749467,2.1739496671785283,1236.7,Commercial,land_use,1.5,75.2,703.0
ghsl_2878_cell_00027,9,5,49.00139951749467,2.1869284711616834,2305.1,Commercial,land_use,2.4,70.3,1509.9
ghsl_2878_cell_00028,10,5,49.00139951749467,2.199907275144839,5614.2,Residential,land_use,8.8,71.1,2108.9
ghsl_2878_cell_00029,11,5,49.00139951749467,2.212886079127994,3033.9,Residential,land_use,5.9,65.8,2828.3
ghsl_2878_cell_00030,12,5,49.00139951749467,2.2258648831111496,3666.7,Industrial,land_use,39.5,69.3,2686.7
ghsl_2878_cell_00031,13,5,49.00139951749467,2.238843687094305,5954.0,Residential,land_use,3.4,64.0,2148.0
ghsl_2878_cell_00032,14,5,49.00139951749467,2.251822491077461,4446.1,Industrial,land_use,4.4,59.8,1528.1
ghsl_2878_cell_00033,15,5,49.00139951749467,2.2648012950606162,4436.6,Civic,land_use,4.4,60.0,716.0
ghsl_2878_cell_00034,16,5,49.00139951749466,2.277780099043771,3449.7,Civic,land_use,13.1,63.5,527.1
ghsl_2878_cell_00035,17,5,49.00139951749467,2.290758903026927,4688.4,Civic,land_use,7.4,76.5,527.3
ghsl_2878_cell_00036,18,5,49.00139951749467,2.3037377070100824,2733.2,Civic,land_use,4.8,125.2,527.3
ghsl_2878_cell_00037,19,5,49.00139951749467,2.316716510993238,3280.4,Civic,land_use,2.1,144.5,474.7
ghsl_2878_cell_00038,22,5,49.00139951749467,2.355652922942704,6582.6,Commercial,land_use,3.9,88.0,474.7
ghsl_2878_cell_00039,23,5,49.00139951749467,2.3686317269258597,6253.5,Civic,land_use,19.0,61.1,702.4
ghsl_2878_cell_00040,24,5,49.00139951749466,2.3816105309090143,7895.0,Civic,land_use,7.6,82.1,1509.1
ghsl_2878_cell_00041,25,5,49.00139951749467,2.39458933489217,6138.4,Commercial,land_use,20.1,77.2,716.4
ghsl_2878_cell_00042,26,5,49.00139951749467,2.407568138875326,6281.9,Civic,land_use,31.0,75.2,527.0
ghsl_2878_cell_00043,27,5,49.00139951749467,2.420546942858481,7697.4,Civic,land_use,16.5,82.5,474.7
ghsl_2878_cell_00044,6,6,48.991922385549906,2.14773444837347,2832.6,Civic,land_use,12.8,58.8,474.8
ghsl_2878_cell_00045,7,6,48.99192238554991,2.160711695795667,5147.4,Civic,land_use,3.6,70.3,715.7
