cell_id,x,y,centroid_lat,centroid_lon,population,type,type_source,green_cover_pct,elevation_m,dist_to_boundary_m
ghsl_178_cell_00000,12,0,1.435620595485665,103.74403985896727,0.0,Commercial,buildings,5.5,3.3,447.2
ghsl_178_cell_00001,13,0,1.4356205954856658,103.75401956555751,0.0,Industrial,buildings,4.7,4.1,447.2
ghsl_178_cell_00002,12,1,1.4275319489822416,103.74381407893217,0.0,Commercial,land_use,1.7,1.0,554.5
ghsl_178_cell_00003,27,1,1.4275319489822416,103.89350935200069,0.0,Industrial,land_use,0.0,0.0,447.2
ghsl_178_cell_00004,12,2,1.419443313381614,103.74358957595214,0.0,Industrial,buildings,5.8,16.4,554.3
ghsl_178_cell_00005,27,2,1.419443313381614,103.89328452507813,2.7,Industrial,land_use,0.0,4.3,555.0
ghsl_178_cell_00006,28,2,1.419443313381614,103.90326418835322,1159.3,Residential,buildings,15.5,27.1,447.2
ghsl_178_cell_00007,29,2,1.4194433133816142,103.91324385162827,1294.8,Utility,buildings,1.9,4.6,447.2
ghsl_178_cell_00008,12,3,1.411354688621957,103.7433663500023,0.0,Industrial,buildings,19.3,10.6,554.2
ghsl_178_cell_00009,13,3,1.411354688621954,103.75334599180404,0.0,Industrial,buildings,14.7,7.0,447.2
ghsl_178_cell_00010,26,3,1.411354688621955,103.88308133522669,0.0,Utility,land_use,0.0,5.7,447.2
ghsl_178_cell_00011,27,3,1.411354688621957,103.89306097702843,654.1,Residential,buildings,16.5,7.4,703.4
ghsl_178_cell_00012,28,3,1.411354688621956,103.90304061883015,3992.3,Residential,buildings,38.4,2.2,1341.6
ghsl_178_cell_00013,29,3,1.4113546886219541,103.91302026063192,394.4,Civic,buildings,14.2,7.6,555.1
ghsl_178_cell_00014,12,4,1.4032660746414376,103.74314440105793,20198.7,Residential,buildings,6.5,18.9,554.3
ghsl_178_cell_00015,13,4,1.4032660746414403,103.75312402150917,25172.7,Industrial,buildings,14.6,2.9,555.1
ghsl_178_cell_00016,25,4,1.403266074641438,103.87287946692426,1518.5,Residential,buildings,6.1,5.7,447.2
ghsl_178_cell_00017,26,4,1.4032660746414392,103.88285908737555,338.1,Residential,buildings,7.1,5.6,703.4
ghsl_178_cell_00018,27,4,1.4032660746414383,103.8928387078268,9262.0,Residential,buildings,8.3,7.2,1438.2
ghsl_178_cell_00019,28,4,1.4032660746414392,103.90281832827807,35603.1,Residential,buildings,8.0,12.4,1736.8
ghsl_178_cell_00020,29,4,1.4032660746414392,103.91279794872932,19674.7,Residential,buildings,18.5,8.4,722.6
ghsl_178_cell_00021,30,4,1.4032660746414394,103.9227775691806,870.7,Residential,buildings,80.0,7.8,447.2
ghsl_178_cell_00022,31,4,1.4032660746414383,103.93275718963183,4.9,Utility,buildings,0.0,0.0,447.2
ghsl_178_cell_00023,12,5,1.3951774713782374,103.74292372909447,28112.3,Residential,buildings,4.4,20.3,554.5
ghsl_178_cell_00024,13,5,1.3951774713782363,103.75290332831806,26720.8,Residential,buildings,8.7,4.4,722.6
ghsl_178_cell_00025,14,5,1.3951774713782372,103.76288292754167,0.0,Utility,land_use,32.1,35.5,447.2
ghsl_178_cell_00026,22,5,1.3951774713782374,103.84271972133061,190.8,Utility,land_use,0.0,35.6,447.2
ghsl_178_cell_00027,23,5,1.3951774713782363,103.85269932055421,725.9,Residential,buildings,2.0,19.5,447.2
ghsl_178_cell_00028,24,5,1.3951774713782372,103.86267891977782,2154.5,Residential,buildings,36.3,13.3,447.2
ghsl_178_cell_00029,25,5,1.3951774713782372,103.87265851900143,47122.2,Residential,buildings,10.7,10.5,703.5
ghsl_178_cell_00030,26,5,1.3951774713782372,103.88263811822506,43390.0,Residential,buildings,38.8,8.3,1438.3
ghsl_178_cell_00031,27,5,1.3951774713782363,103.89261771744867,129586.6,Residential,buildings,9.2,16.0,2110.3
ghsl_178_cell_00032,28,5,1.3951774713782363,103.90259731667228,160645.1,Residential,buildings,5.0,16.9,2167.8
ghsl_178_cell_00033,29,5,1.3951774713782383,103.91257691589591,31786.4,Residential,buildings,14.1,17.2,1466.5
ghsl_178_cell_00034,30,5,1.3951774713782363,103.9225565151195,975.4,Utility,buildings,16.6,4.1,1341.6
ghsl_178_cell_00035,31,5,1.3951774713782363,103.93253611434315,860.5,Utility,land_use,9.8,5.8,555.1
ghsl_178_cell_00036,12,6,1.387088878770525,103.74270433408742,22316.2,Residential,buildings,40.6,16.5,554.9
ghsl_178_cell_00037,13,6,1.3870888787705251,103.75268391220622,19768.8,Residential,buildings,7.8,9.8,1466.4
ghsl_178_cell_00038,14,6,1.3870888787705251,103.76266349032504,41061.4,Utility,buildings,7.8,49.0,722.5
ghsl_178_cell_00039,15,6,1.3870888787705238,103.77264306844386,25885.4,Residential,buildings,6.3,50.9,447.2
ghsl_178_cell_00040,21,6,1.387088878770524,103.8325205371567,9629.7,Residential,buildings,13.6,26.6,447.2
ghsl_178_cell_00041,22,6,1.3870888787705251,103.84250011527553,12755.6,Industrial,buildings,13.0,8.2,703.5
ghsl_178_cell_00042,23,6,1.3870888787705251,103.85247969339434,9700.8,Residential,buildings,6.5,13.1,1341.6
ghsl_178_cell_00043,24,6,1.3870888787705238,103.86245927151313,15664.6,Residential,buildings,5.1,19.9,1341.6
ghsl_178_cell_00044,25,6,1.387088878770525,103.87243884963195,36654.8,Residential,buildings,5.7,23.0,1438.3
ghsl_178_cell_00045,26,6,1.387088878770525,103.88241842775076,42071.9,Industrial,buildings,4.6,20.7,2110.5
ghsl_178_cell_00046,27,6,1.387088878770525,103.89239800586958,132500.3,Residential,buildings,6.4,17.6,2752.1
ghsl_178_cell_00047,28,6,1.387088878770525,103.90237758398837,158076.0,Residential,buildings,7.9,14.1,2825.4
ghsl_178_cell_00048,29,6,1.3870888787705238,103.91235716210718,15684.9,Utility,buildings,4.0,13.7,2319.5
ghsl_178_cell_00049,30,6,1.3870888787705251,103.922336740226,406.0,Industrial,buildings,18.6,6.0,1736.7
ghsl_178_cell_00050,31,6,1.3870888787705238,103.9323163183448,1461.0,Industrial,buildings,73.6,6.5,722.5
ghsl_178_cell_00051,32,6,1.387088878770525,103.94229589646362,509.8,Residential,buildings,0.1,3.5,447.2
