cell_id,x,y,centroid_lat,centroid_lon,population,type,type_source,green_cover_pct,elevation_m,dist_to_boundary_m
ghsl_1693_cell_00000,1,0,59.46500918616559,17.803324389086395,1241.2,Residential,buildings,3.1,31.1,426.5
ghsl_1693_cell_00001,2,0,59.46500918616558,17.818586561730278,1767.3,Residential,buildings,4.0,44.6,426.5
ghsl_1693_cell_00002,0,1,59.454602842443926,17.784572009381204,1.9,Residential,heuristic,0.0,0.0,426.6
ghsl_1693_cell_00003,1,1,59.454602842443926,17.79983118742443,1448.4,Residential,buildings,2.5,20.8,668.8
ghsl_1693_cell_00004,2,1,59.45460284244392,17.815090365467654,3483.4,Residential,buildings,7.7,19.3,786.6
ghsl_1693_cell_00005,3,1,59.45460284244392,17.830349543510888,1608.3,Industrial,buildings,33.7,33.4,426.5
ghsl_1693_cell_00006,11,1,59.454602842443926,17.952422967856705,2074.7,Residential,buildings,10.0,28.1,426.4
ghsl_1693_cell_00007,1,2,59.444197659859036,17.796340552538854,16.1,Residential,heuristic,15.8,41.1,426.6
ghsl_1693_cell_00008,2,2,59.44419765985903,17.811596738181837,339.4,Civic,buildings,1.3,52.4,1279.8
ghsl_1693_cell_00009,3,2,59.444197659859036,17.826852923824823,3008.5,Residential,buildings,4.3,39.2,786.6
ghsl_1693_cell_00010,4,2,59.44419765985903,17.842109109467803,1768.2,Residential,buildings,88.4,42.2,426.5
ghsl_1693_cell_00011,10,2,59.444197659859036,17.9336462233257,3771.0,Residential,buildings,14.6,19.3,426.5
ghsl_1693_cell_00012,11,2,59.444197659859036,17.948902408968678,3175.2,Residential,buildings,6.8,27.6,668.4
ghsl_1693_cell_00013,12,2,59.444197659859036,17.964158594611664,3177.0,Residential,buildings,25.1,17.1,426.5
ghsl_1693_cell_00014,1,3,59.433793637695615,17.792852481512785,64.4,Agricultural,buildings,35.0,25.1,426.7
ghsl_1693_cell_00015,2,3,59.43379363769562,17.80810567695343,503.0,Residential,buildings,0.0,56.9,786.6
ghsl_1693_cell_00016,3,3,59.43379363769561,17.823358872394078,2809.3,Residential,buildings,4.3,33.7,1279.8
ghsl_1693_cell_00017,4,3,59.43379363769561,17.83861206783472,3561.0,Residential,buildings,4.7,41.4,426.6
ghsl_1693_cell_00018,10,3,59.43379363769561,17.930131240478595,2787.0,Commercial,buildings,5.0,16.8,426.6
ghsl_1693_cell_00019,11,3,59.43379363769561,17.945384435919237,5098.9,Residential,buildings,11.4,17.1,1279.6
ghsl_1693_cell_00020,12,3,59.43379363769562,17.960637631359887,1456.0,Residential,buildings,5.2,0.0,787.1
