cell_id,x,y,centroid_lat,centroid_lon,population,type,type_source,green_cover_pct,elevation_m,dist_to_boundary_m
ghsl_5929_cell_00000,19,0,36.209768130402225,139.71097546869987,1608.0,Commercial,land_use,21.1,22.2,380.4
ghsl_5929_cell_00001,20,0,36.209768130402225,139.72237439787776,1700.0,Industrial,land_use,6.9,19.6,380.4
ghsl_5929_cell_00002,23,0,36.209768130402225,139.7565711854114,1394.3,Commercial,land_use,3.1,23.1,380.3
ghsl_5929_cell_00003,19,1,36.2009943573345,139.70120277826527,2730.8,Residential,land_use,23.8,20.8,380.5
ghsl_5929_cell_00004,20,1,36.2009943573345,139.71260091009557,4427.5,Civic,land_use,1.4,21.8,1069.2
ghsl_5929_cell_00005,21,1,36.2009943573345,139.72399904192588,3105.6,Commercial,land_use,0.5,16.3,486.8
ghsl_5929_cell_00006,22,1,36.2009943573345,139.73539717375618,1829.7,Commercial,land_use,0.0,18.8,486.8
ghsl_5929_cell_00007,23,1,36.2009943573345,139.7467953055865,2141.6,Residential,heuristic,0.0,19.5,492.2
ghsl_5929_cell_00008,24,1,36.2009943573345,139.75819343741682,2067.1,Civic,land_use,3.6,21.5,380.4
ghsl_5929_cell_00009,20,2,36.19222095396793,139.70283171338,3524.2,Civic,land_use,2.3,23.0,380.6
ghsl_5929_cell_00010,21,2,36.19222095396793,139.71422904821281,4647.7,Residential,land_use,1.0,17.6,1069.1
ghsl_5929_cell_00011,22,2,36.19222095396793,139.72562638304564,2301.9,Civic,land_use,0.0,18.4,1460.3
ghsl_5929_cell_00012,23,2,36.192220953967926,139.73702371787846,2440.0,Commercial,land_use,0.0,19.5,1201.4
ghsl_5929_cell_00013,24,2,36.19222095396793,139.7484210527113,2075.7,Industrial,land_use,0.8,20.7,380.5
ghsl_5929_cell_00014,21,3,36.18344792015616,139.70446334378963,3321.4,Residential,land_use,13.3,16.0,380.6
ghsl_5929_cell_00015,22,3,36.18344792015616,139.71585988197486,2162.4,Commercial,land_use,18.3,18.1,1069.0
ghsl_5929_cell_00016,23,3,36.183447920156155,139.7272564201601,1778.2,Utility,land_use,18.0,17.9,1919.2
ghsl_5929_cell_00017,24,3,36.18344792015616,139.73865295834537,2049.3,Residential,heuristic,1.9,16.8,1069.1
ghsl_5929_cell_00018,25,3,36.183447920156155,139.7500494965306,1331.5,Commercial,land_use,6.5,16.7,380.5
ghsl_5929_cell_00019,22,4,36.17467525575288,139.70609766841858,1217.0,Commercial,land_use,31.0,18.1,380.7
ghsl_5929_cell_00020,23,4,36.174675255752895,139.71749341030596,1271.0,Industrial,land_use,36.6,19.1,1068.9
ghsl_5929_cell_00021,24,4,36.17467525575288,139.72888915219332,1778.4,Industrial,land_use,10.6,19.9,1141.9
ghsl_5929_cell_00022,25,4,36.174675255752895,139.74028489408073,1544.1,Commercial,land_use,0.5,17.1,492.2
ghsl_5929_cell_00023,26,4,36.17467525575288,139.7516806359681,1774.5,Civic,land_use,0.4,18.3,380.6
ghsl_5929_cell_00024,3,5,36.16590296061187,139.47983576741038,1528.4,Civic,land_use,8.7,29.1,380.9
ghsl_5929_cell_00025,23,5,36.16590296061187,139.7077346861921,1896.3,Industrial,land_use,19.9,18.8,380.7
ghsl_5929_cell_00026,24,5,36.16590296061187,139.71912963213123,1279.7,Industrial,land_use,37.9,15.3,1068.8
ghsl_5929_cell_00027,25,5,36.16590296061187,139.73052457807032,635.5,Commercial,land_use,13.4,12.2,380.7
ghsl_5929_cell_00028,3,6,36.15713103458694,139.47009723889306,1704.2,Civic,land_use,18.5,19.2,381.0
ghsl_5929_cell_00029,4,6,36.157131034586946,139.4814913892332,981.3,Civic,land_use,17.7,19.6,381.0
ghsl_5929_cell_00030,24,6,36.157131034586946,139.70937439603665,1457.8,Commercial,land_use,17.0,14.1,380.7
ghsl_5929_cell_00031,25,6,36.157131034586946,139.72076854637683,1110.5,Industrial,land_use,39.4,13.7,380.8
ghsl_5929_cell_00032,2,7,36.148359477531976,139.44896962979868,514.3,Civic,land_use,5.6,18.7,381.1
ghsl_5929_cell_00033,3,7,36.14835947753197,139.46036298488914,3805.6,Civic,land_use,3.8,20.4,492.3
ghsl_5929_cell_00034,4,7,36.148359477531976,139.4717563399796,3903.2,Civic,land_use,2.5,19.5,1067.9
ghsl_5929_cell_00035,5,7,36.148359477531976,139.4831496950701,2595.6,Industrial,land_use,1.1,20.0,486.6
ghsl_5929_cell_00036,6,7,36.148359477531976,139.49454305016056,1355.8,Residential,heuristic,0.0,17.2,381.1
ghsl_5929_cell_00037,24,7,36.14835947753198,139.699623441789,780.0,Civic,land_use,3.6,9.0,380.7
ghsl_5929_cell_00038,25,7,36.148359477531976,139.71101679687948,1534.5,Commercial,land_use,11.6,15.3,380.8
ghsl_5929_cell_00039,1,8,36.13958828930092,139.42784788290368,1584.4,Residential,heuristic,4.0,20.1,381.2
ghsl_5929_cell_00040,2,8,36.13958828930092,139.4392404430935,2019.0,Civic,land_use,27.2,18.8,492.4
ghsl_5929_cell_00041,3,8,36.13958828930091,139.4506330032833,4612.4,Utility,land_use,0.9,20.2,1143.4
ghsl_5929_cell_00042,4,8,36.13958828930092,139.4620255634731,4400.3,Civic,land_use,1.1,20.6,1477.1
ghsl_5929_cell_00043,5,8,36.13958828930092,139.47341812366292,3835.4,Civic,land_use,0.8,21.7,1143.5
ghsl_5929_cell_00044,6,8,36.13958828930092,139.48481068385271,2282.9,Industrial,land_use,10.0,17.6,381.2
