attribute_pattern,description,units,upstream_source,details
,Refers to the descriptive name of the indicator,Refers to the unit of measure of the attribute,Refers to the source of the processed data,"Refers to a short description of the indicator to clarify the meaning, can be the same of the indicator name if self-explanatory"
GC_UCN_MAI_XXXX,Urban center Main Name,Dimensionless,Open Street Maps GISCO WUP 2018,Name of the main city inside the urban center.
GC_UCN_LIS_XXXX,Urban center List Name,Dimensionless,Open Street Maps GISCO WUP 2018,List of names of the all cities inside the urban center.
GC_CNT_GAD_XXXX,Country Name,Dimensionless,"GADM version 4.1, released on 16 July 2022 https://gadm.org/data.html",Country named based on GADM dataset
GC_CNT_UNN_XXXX,Country Name,Dimensionless,World Population Prospects 2022 (WPP2022),Country named based on WPP2022.
GC_UCA_KM2_XXXX,Urban Centre Area,Km2,"Schiavina M., Melchiorri M., Pesaresi M. (2023): GHS-SMOD R2023A - GHS settlement layers, application of the Degree of Urbanisation methodology (stage I) to GHS-POP R2023A and GHS-BUILT-S R2023A, multitemporal (1975- 2030). European Commission, Joint Research Centre (JRC) PID: http://data.europa.eu/89h/a0df7a6f-49de-46ea-9bde-563437a6e2ba, doi:10.2905/A0DF7A6F-49DE-46EA-9BDE-563437A6E2BA",Urban Centre Area
GC_POP_TOT_XXXX,Total Population in the Urban Centre,Number of inhabitants,"Schiavina M., Freire S., Carioli A., MacManus K. (2023): GHS-POP R2023A - GHS population grid multitemporal (1975-2030).European Commission, Joint Research Centre (JRC) PID: http://data.europa.eu/89h/2ff68a52-5b5b-4a22-8f40-c41da8332cfe, doi:10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE",Total population allocated inside of the UC in number of inhabitants.
GC_DEV_WIG_XXXX,World Bank Income Group,Categorical,The World Bank https://datahelpdesk.worldbank.org/knowledgebase/articles/906519,"The World Bank income group classification provides a complete list of economies classified by income, region, and World Bank lending status. This table is updated to year 2022."
GC_DEV_USR_XXXX,UN SDG Region,Categorical,UN https://unstats.un.org/sdgs/indicators/regional-groups/,Country grouping in geographic regions based on the 2016 Sustainable Development Goals Report and the progress reports on the Millennium Development Goals.
GC_PLS_SCR_XXXX,Plausibility,Categorical,"Melchiorri Michele; Marí Rivero Inés, Florio Pietro, Uhl Johannes, Krasnodębska Katarzyna, Pesaresi Martino, Politis Pangliotis, Schiavina Marcello, Maffenini Luca, Tommasi Pierpaolo, Carioli Alessandra, Ehrlich Daniele, Crippa Monica, Guizzardi Diego, Pisoni Enrico, Bellis Claudio, Sulis Patrizia, Oom Duarte, Branco Alfredo, Kemper Thomas. Stats in the City –the GHSL Urban Centre Database 2025.Publications Office of the European Union, Luxembourg, 2024. ISBN 978-92-68- 21609-5, doi: 10.2760/3046391, JRC139768",The score indicates the plausibility/quality of the modelled urban centre.
GC_UCB_YOB_XXXX,Year of Birth,year,"Schiavina M., Melchiorri M., Pesaresi M. (2023): GHS-SMOD R2023A - GHS settlement layers, application of the Degree of Urbanisation methodology (stage I) to GHS-POP R2023A and GHS-BUILT-S R2023A, multitemporal (1975- 2030). European Commission, Joint Research Centre (JRC) PID: http://data.europa.eu/89h/a0df7a6f-49de-46ea-9bde-563437a6e2ba, doi:10.2905/A0DF7A6F-49DE-46EA-9BDE-563437A6E2BA European Commission, and Statistical Office of the European Union, 2021 Applying the Degree of Urbanisation — A methodological manual to define cities, towns and rural areas for international comparisons — 2021 edition. Publications Office of the European Union, 2021; ISBN 978-92-76-20306-3 10.2785/706535","Indicates the year in the multitemporal series GHS-SMOD R2023A, the cells reach the conditions to be classified as urban centre."
GC_UCB_YOD_XXXX,Year of Death,year,"Schiavina M., Melchiorri M., Pesaresi M. (2023): GHS-SMOD R2023A - GHS settlement layers, application of the Degree of Urbanisation methodology (stage I) to GHS-POP R2023A and GHS-BUILT-S R2023A, multitemporal (1975- 2030). European Commission, Joint Research Centre (JRC) PID: http://data.europa.eu/89h/a0df7a6f-49de-46ea-9bde-563437a6e2ba, doi:10.2905/A0DF7A6F-49DE-46EA-9BDE-563437A6E2BA European Commission, and Statistical Office of the European Union, 2021 Applying the Degree of Urbanisation — A methodological manual to define cities, towns and rural areas for international comparisons — 2021 edition. Publications Office of the European Union, 2021; ISBN 978-92-76-20306-3 10.2785/706535",Indicates weather an urban centre is projected to be a urban centre in 2030 or ‘dies’ (doesn’t reach the conditions to be a urban centre) in 2030.
GC_UCM_CAP_XXXX,Capital city,Boolean (yes/no),Wikipedia GoogleMaps,Indicates weather an urban centre is the capital city.
GH_POP_TOT_XXXX,Total Population,Number of inhabitants,"Schiavina M., Freire S., Carioli A., MacManus K. (2023): GHS-POP R2023A - GHS population grid multitemporal (1975-2030).European Commission, Joint Research Centre (JRC) PID: http://data.europa.eu/89h/2ff68a52-5b5b-4a22-8f40-c41da8332cfe, doi:10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE",Total population allocated inside of the UC in number of inhabitants.
GH_POP_CAG_XXXX,Population Compound Annual Growth Rate,%,"Schiavina M., Freire S., Carioli A., MacManus K. (2023): GHS-POP R2023A - GHS population grid multitemporal (1975-2030).European Commission, Joint Research Centre (JRC) PID: http://data.europa.eu/89h/2ff68a52-5b5b-4a22-8f40-c41da8332cfe, doi:10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE",Compound annual growth rate of the total population allocated inside of the UC in percentage.
GH_BUS_TOT_XXXX,Total Built-up,m2,"Pesaresi M., Politis P. (2023): GHS-BUILT-S R2023A - GHS built-up surface grid, derived from Sentinel2 composite and Landsat, multitemporal (1975-2030) European Commission, Joint Research Centre (JRC) PID: http://data.europa.eu/89h/9f06f36f-4b11-47ec-abb0-4f8b7b1d72ea, doi:10.2905/9F06F36F-4B11-47EC-ABB0-4F8B7B1D72EA",Total built-up area of the UC in square meters
