city_id:ID(City),city_name,country,region,income_group,area_km2,population,population_year,latitude,longitude,built_up_area_km2
ghsl_5929,Tokyo,Japan,Eastern and South-Eastern Asia,High income,5165.0,33155906.87,2025,35.68158488469737,139.65117282382732,1455.991374
ghsl_178,Singapore,Singapore,Eastern and South-Eastern Asia,High income,438.0,5117758.84,2025,1.3362861061243934,103.81916318868348,91.682037
ghsl_698,Copenhagen,Denmark,Europe,High income,302.0,1258201.64,2025,55.69636161144684,12.503283369096795,61.415791
ghsl_1590,Amsterdam,Netherlands,Europe,High income,308.0,1223406.7,2025,52.35423894447297,4.852764291606634,66.089425
ghsl_5071,Barcelona,Spain,Europe,High income,438.0,3908361.82,2025,41.46187259830605,2.166957672571241,98.156569
ghsl_1689,Zurich,Switzerland,Europe,High income,187.0,689208.07,2025,47.37697538761971,8.546823883955007,31.41571
ghsl_1693,Stockholm,Sweden,Europe,High income,339.0,1543891.72,2025,59.337725968180585,17.997216301523743,46.652935
ghsl_5816,London,United Kingdom,Europe,High income,1649.0,10408332.24,2025,51.50472914455333,-0.1336084921372602,382.426452
ghsl_2878,Paris,France,Europe,High income,1421.0,9328384.72,2025,48.820248548872755,2.368035996483928,358.748204
ghsl_8099,New York City,United States,Northern America,High income,3031.0,14197658.75,2025,40.731238235322,-73.93948633315459,688.338229
