:START_ID(City),:END_ID(GridCell)
ghsl_5929,ghsl_5929_cell_00000
ghsl_5929,ghsl_5929_cell_00001
ghsl_5929,ghsl_5929_cell_00002
ghsl_5929,ghsl_5929_cell_00003
ghsl_5929,ghsl_5929_cell_00004
ghsl_5929,ghsl_5929_cell_00005
ghsl_5929,ghsl_5929_cell_00006
ghsl_5929,ghsl_5929_cell_00007
ghsl_5929,ghsl_5929_cell_00008
ghsl_5929,ghsl_5929_cell_00009
ghsl_5929,ghsl_5929_cell_00010
ghsl_5929,ghsl_5929_cell_00011
ghsl_5929,ghsl_5929_cell_00012
ghsl_5929,ghsl_5929_cell_00013
ghsl_5929,ghsl_5929_cell_00014
ghsl_5929,ghsl_5929_cell_00015
ghsl_5929,ghsl_5929_cell_00016
ghsl_5929,ghsl_5929_cell_00017
ghsl_5929,ghsl_5929_cell_00018
ghsl_5929,ghsl_5929_cell_00019
ghsl_5929,ghsl_5929_cell_00020
ghsl_5929,ghsl_5929_cell_00021
ghsl_5929,ghsl_5929_cell_00022
ghsl_5929,ghsl_5929_cell_00023
ghsl_5929,ghsl_5929_cell_00024
ghsl_5929,ghsl_5929_cell_00025
ghsl_5929,ghsl_5929_cell_00026
ghsl_5929,ghsl_5929_cell_00027
ghsl_5929,ghsl_5929_cell_00028
ghsl_5929,ghsl_5929_cell_00029
ghsl_5929,ghsl_5929_cell_00030
ghsl_5929,ghsl_5929_cell_00031
ghsl_5929,ghsl_5929_cell_00032
ghsl_5929,ghsl_5929_cell_00033
ghsl_5929,ghsl_5929_cell_00034
ghsl_5929,ghsl_5929_cell_00035
ghsl_5929,ghsl_5929_cell_00036
ghsl_5929,ghsl_5929_cell_00037
ghsl_5929,ghsl_5929_cell_00038
ghsl_5929,ghsl_5929_cell_00039
ghsl_5929,ghsl_5929_cell_00040
ghsl_5929,ghsl_5929_cell_00041
ghsl_5929,ghsl_5929_cell_00042
ghsl_5929,ghsl_5929_cell_00043
ghsl_5929,ghsl_5929_cell_00044
ghsl_5929,ghsl_5929_cell_00045
ghsl_5929,ghsl_5929_cell_00046
ghsl_5929,ghsl_5929_cell_00047
ghsl_5929,ghsl_5929_cell_00048
ghsl_5929,ghsl_5929_cell_00049
ghsl_5929,ghsl_5929_cell_00050
ghsl_5929,ghsl_5929_cell_00051
ghsl_5929,ghsl_5929_cell_00052
ghsl_5929,ghsl_5929_cell_00053
ghsl_5929,ghsl_5929_cell_00054
ghsl_5929,ghsl_5929_cell_00055
ghsl_5929,ghsl_5929_cell_00056
ghsl_5929,ghsl_5929_cell_00057
ghsl_5929,ghsl_5929_cell_00058
ghsl_5929,ghsl_5929_cell_00059
ghsl_5929,ghsl_5929_cell_00060
ghsl_5929,ghsl_5929_cell_00061
ghsl_5929,ghsl_5929_cell_00062
ghsl_5929,ghsl_5929_cell_00063
ghsl_5929,ghsl_5929_cell_00064
ghsl_5929,ghsl_5929_cell_00065
ghsl_5929,ghsl_5929_cell_00066
ghsl_5929,ghsl_5929_cell_00067
ghsl_5929,ghsl_5929_cell_00068
ghsl_5929,ghsl_5929_cell_00069
ghsl_5929,ghsl_5929_cell_00070
ghsl_5929,ghsl_5929_cell_00071
ghsl_5929,ghsl_5929_cell_00072
ghsl_5929,ghsl_5929_cell_00073
ghsl_5929,ghsl_5929_cell_00074
ghsl_5929,ghsl_5929_cell_00075
ghsl_5929,ghsl_5929_cell_00076
ghsl_5929,ghsl_5929_cell_00077
ghsl_5929,ghsl_5929_cell_00078
ghsl_5929,ghsl_5929_cell_00079
ghsl_5929,ghsl_5929_cell_00080
ghsl_5929,ghsl_5929_cell_00081
ghsl_5929,ghsl_5929_cell_00082
ghsl_5929,ghsl_5929_cell_00083
ghsl_5929,ghsl_5929_cell_00084
ghsl_5929,ghsl_5929_cell_00085
ghsl_5929,ghsl_5929_cell_00086
ghsl_5929,ghsl_5929_cell_00087
ghsl_5929,ghsl_5929_cell_00088
ghsl_5929,ghsl_5929_cell_00089
ghsl_5929,ghsl_5929_cell_00090
ghsl_5929,ghsl_5929_cell_00091
ghsl_5929,ghsl_5929_cell_00092
ghsl_5929,ghsl_5929_cell_00093
ghsl_5929,ghsl_5929_cell_00094
ghsl_5929,ghsl_5929_cell_00095
ghsl_5929,ghsl_5929_cell_00096
ghsl_5929,ghsl_5929_cell_00097
ghsl_5929,ghsl_5929_cell_00098
ghsl_5929,ghsl_5929_cell_00099
ghsl_5929,ghsl_5929_cell_00100
ghsl_5929,ghsl_5929_cell_00101
ghsl_5929,ghsl_5929_cell_00102
ghsl_5929,ghsl_5929_cell_00103
ghsl_5929,ghsl_5929_cell_00104
ghsl_5929,ghsl_5929_cell_00105
ghsl_5929,ghsl_5929_cell_00106
ghsl_5929,ghsl_5929_cell_00107
ghsl_5929,ghsl_5929_cell_00108
ghsl_5929,ghsl_5929_cell_00109
ghsl_5929,ghsl_5929_cell_00110
ghsl_5929,ghsl_5929_cell_00111
ghsl_5929,ghsl_5929_cell_00112
ghsl_5929,ghsl_5929_cell_00113
ghsl_5929,ghsl_5929_cell_00114
ghsl_5929,ghsl_5929_cell_00115
ghsl_5929,ghsl_5929_cell_00116
ghsl_5929,ghsl_5929_cell_00117
ghsl_5929,ghsl_5929_cell_00118
ghsl_5929,ghsl_5929_cell_00119
ghsl_5929,ghsl_5929_cell_00120
ghsl_5929,ghsl_5929_cell_00121
ghsl_5929,ghsl_5929_cell_00122
ghsl_5929,ghsl_5929_cell_00123
ghsl_5929,ghsl_5929_cell_00124
ghsl_5929,ghsl_5929_cell_00125
ghsl_5929,ghsl_5929_cell_00126
ghsl_5929,ghsl_5929_cell_00127
ghsl_5929,ghsl_5929_cell_00128
ghsl_5929,ghsl_5929_cell_00129
ghsl_5929,ghsl_5929_cell_00130
ghsl_5929,ghsl_5929_cell_00131
ghsl_5929,ghsl_5929_cell_00132
ghsl_5929,ghsl_5929_cell_00133
ghsl_5929,ghsl_5929_cell_00134
ghsl_5929,ghsl_5929_cell_00135
ghsl_5929,ghsl_5929_cell_00136
ghsl_5929,ghsl_5929_cell_00137
ghsl_5929,ghsl_5929_cell_00138
ghsl_5929,ghsl_5929_cell_00139
ghsl_5929,ghsl_5929_cell_00140
ghsl_5929,ghsl_5929_cell_00141
