cell_id:ID(GridCell),city_id,population:float,type,type_source,green_cover_pct:float,elevation_m:float,dist_to_boundary_m:float,centroid_lat:float,centroid_lon:float
ghsl_5929_cell_00000,ghsl_5929,1607.9562542685308,Commercial,land_use,21.1,22.2,380.4,36.209768130402225,139.71097546869987
ghsl_5929_cell_00001,ghsl_5929,1700.027494979091,Industrial,land_use,6.9,19.6,380.4,36.209768130402225,139.72237439787776
ghsl_5929_cell_00002,ghsl_5929,1394.2847556695342,Commercial,land_use,3.1,23.1,380.3,36.209768130402225,139.7565711854114
ghsl_5929_cell_00003,ghsl_5929,2730.8312924802303,Residential,land_use,23.8,20.8,380.5,36.2009943573345,139.70120277826527
ghsl_5929_cell_00004,ghsl_5929,4427.527545928955,Civic,land_use,1.4,21.8,1069.2,36.2009943573345,139.71260091009557
ghsl_5929_cell_00005,ghsl_5929,3105.64960578084,Commercial,land_use,0.5,16.3,486.8,36.2009943573345,139.72399904192588
ghsl_5929_cell_00006,ghsl_5929,1829.7014287495986,Commercial,land_use,0.0,18.8,486.8,36.2009943573345,139.73539717375618
ghsl_5929_cell_00007,ghsl_5929,2141.6095700860023,Residential,heuristic,0.0,19.5,492.2,36.2009943573345,139.7467953055865
ghsl_5929_cell_00008,ghsl_5929,2067.0894289016724,Civic,land_use,3.6,21.5,380.4,36.2009943573345,139.75819343741682
ghsl_5929_cell_00009,ghsl_5929,3524.2475122681353,Civic,land_use,2.3,23.0,380.6,36.19222095396793,139.70283171338
ghsl_5929_cell_00010,ghsl_5929,4647.65691947937,Residential,land_use,1.0,17.6,1069.1,36.19222095396793,139.71422904821281
ghsl_5929_cell_00011,ghsl_5929,2301.94238414336,Civic,land_use,0.0,18.4,1460.3,36.19222095396793,139.72562638304564
ghsl_5929_cell_00012,ghsl_5929,2439.965605556965,Commercial,land_use,0.0,19.5,1201.4,36.192220953967926,139.73702371787846
ghsl_5929_cell_00013,ghsl_5929,2075.676283597946,Industrial,land_use,0.8,20.7,380.5,36.19222095396793,139.7484210527113
ghsl_5929_cell_00014,ghsl_5929,3321.3767966628075,Residential,land_use,13.3,16.0,380.6,36.18344792015616,139.70446334378963
ghsl_5929_cell_00015,ghsl_5929,2162.4002891629934,Commercial,land_use,18.3,18.1,1069.0,36.18344792015616,139.71585988197486
ghsl_5929_cell_00016,ghsl_5929,1778.1573561076075,Utility,land_use,18.0,17.9,1919.2,36.183447920156155,139.7272564201601
ghsl_5929_cell_00017,ghsl_5929,2049.2591963410378,Residential,heuristic,1.9,16.8,1069.1,36.18344792015616,139.73865295834537
ghsl_5929_cell_00018,ghsl_5929,1331.5147233083844,Commercial,land_use,6.5,16.7,380.5,36.183447920156155,139.7500494965306
ghsl_5929_cell_00019,ghsl_5929,1217.011610660702,Commercial,land_use,31.0,18.1,380.7,36.17467525575288,139.70609766841858
ghsl_5929_cell_00020,ghsl_5929,1271.0233951434493,Industrial,land_use,36.6,19.1,1068.9,36.174675255752895,139.71749341030596
ghsl_5929_cell_00021,ghsl_5929,1778.3746646940708,Industrial,land_use,10.6,19.9,1141.9,36.17467525575288,139.72888915219332
ghsl_5929_cell_00022,ghsl_5929,1544.0978777837008,Commercial,land_use,0.5,17.1,492.2,36.174675255752895,139.74028489408073
ghsl_5929_cell_00023,ghsl_5929,1774.5342190125957,Civic,land_use,0.4,18.3,380.6,36.17467525575288,139.7516806359681
ghsl_5929_cell_00024,ghsl_5929,1528.4331843950786,Civic,land_use,8.7,29.1,380.9,36.16590296061187,139.47983576741038
ghsl_5929_cell_00025,ghsl_5929,1896.325676113367,Industrial,land_use,19.9,18.8,380.7,36.16590296061187,139.7077346861921
ghsl_5929_cell_00026,ghsl_5929,1279.6500438856892,Industrial,land_use,37.9,15.3,1068.8,36.16590296061187,139.71912963213123
ghsl_5929_cell_00027,ghsl_5929,635.51208336954,Commercial,land_use,13.4,12.2,380.7,36.16590296061187,139.73052457807032
ghsl_5929_cell_00028,ghsl_5929,1704.1567737539299,Civic,land_use,18.5,19.2,381.0,36.15713103458694,139.47009723889306
ghsl_5929_cell_00029,ghsl_5929,981.2834025621414,Civic,land_use,17.7,19.6,381.0,36.157131034586946,139.4814913892332
ghsl_5929_cell_00030,ghsl_5929,1457.7794204822276,Commercial,land_use,17.0,14.1,380.7,36.157131034586946,139.70937439603665
ghsl_5929_cell_00031,ghsl_5929,1110.5451946160756,Industrial,land_use,39.4,13.7,380.8,36.157131034586946,139.72076854637683
ghsl_5929_cell_00032,ghsl_5929,514.3263838291168,Civic,land_use,5.6,18.7,381.1,36.148359477531976,139.44896962979868
ghsl_5929_cell_00033,ghsl_5929,3805.5945484638214,Civic,land_use,3.8,20.4,492.3,36.14835947753197,139.46036298488914
ghsl_5929_cell_00034,ghsl_5929,3903.181046962738,Civic,land_use,2.5,19.5,1067.9,36.148359477531976,139.4717563399796
ghsl_5929_cell_00035,ghsl_5929,2595.6410871762782,Industrial,land_use,1.1,20.0,486.6,36.148359477531976,139.4831496950701
ghsl_5929_cell_00036,ghsl_5929,1355.8083106223494,Residential,heuristic,0.0,17.2,381.1,36.148359477531976,139.49454305016056
ghsl_5929_cell_00037,ghsl_5929,780.0309883533046,Civic,land_use,3.6,9.0,380.7,36.14835947753198,139.699623441789
ghsl_5929_cell_00038,ghsl_5929,1534.530808866024,Commercial,land_use,11.6,15.3,380.8,36.148359477531976,139.71101679687948
ghsl_5929_cell_00039,ghsl_5929,1584.4143290142529,Residential,heuristic,4.0,20.1,381.2,36.13958828930092,139.42784788290368
ghsl_5929_cell_00040,ghsl_5929,2019.0023364424706,Civic,land_use,27.2,18.8,492.4,36.13958828930092,139.4392404430935
ghsl_5929_cell_00041,ghsl_5929,4612.427480220795,Utility,land_use,0.9,20.2,1143.4,36.13958828930091,139.4506330032833
ghsl_5929_cell_00042,ghsl_5929,4400.250175476074,Civic,land_use,1.1,20.6,1477.1,36.13958828930092,139.4620255634731
ghsl_5929_cell_00043,ghsl_5929,3835.413725376129,Civic,land_use,0.8,21.7,1143.5,36.13958828930092,139.47341812366292
ghsl_5929_cell_00044,ghsl_5929,2282.9370249048807,Industrial,land_use,10.0,17.6,381.2,36.13958828930092,139.48481068385271
ghsl_5929_cell_00045,ghsl_5929,2995.293236732483,Residential,land_use,2.5,14.2,380.8,36.13958828930092,139.68987676726914
ghsl_5929_cell_00046,ghsl_5929,2454.6380891017616,Civic,land_use,5.4,13.3,1068.5,36.13958828930092,139.70126932745896
ghsl_5929_cell_00047,ghsl_5929,802.54711086303,Green,land_use,50.1,12.7,380.8,36.13958828930092,139.71266188764875
