:START_ID(GridCell),:END_ID(GridCell),distance_m:float
ghsl_5929_cell_00000,ghsl_5929_cell_00001,1000.0
ghsl_5929_cell_00000,ghsl_5929_cell_00003,1000.0
ghsl_5929_cell_00000,ghsl_5929_cell_00004,1414.2
ghsl_5929_cell_00001,ghsl_5929_cell_00000,1000.0
ghsl_5929_cell_00001,ghsl_5929_cell_00003,1414.2
ghsl_5929_cell_00001,ghsl_5929_cell_00004,1000.0
ghsl_5929_cell_00001,ghsl_5929_cell_00005,1414.2
ghsl_5929_cell_00002,ghsl_5929_cell_00006,1414.2
ghsl_5929_cell_00002,ghsl_5929_cell_00007,1000.0
ghsl_5929_cell_00002,ghsl_5929_cell_00008,1414.2
ghsl_5929_cell_00003,ghsl_5929_cell_00000,1000.0
ghsl_5929_cell_00003,ghsl_5929_cell_00001,1414.2
ghsl_5929_cell_00003,ghsl_5929_cell_00004,1000.0
ghsl_5929_cell_00003,ghsl_5929_cell_00009,1414.2
ghsl_5929_cell_00004,ghsl_5929_cell_00000,1414.2
ghsl_5929_cell_00004,ghsl_5929_cell_00001,1000.0
ghsl_5929_cell_00004,ghsl_5929_cell_00003,1000.0
ghsl_5929_cell_00004,ghsl_5929_cell_00005,1000.0
ghsl_5929_cell_00004,ghsl_5929_cell_00009,1000.0
ghsl_5929_cell_00004,ghsl_5929_cell_00010,1414.2
ghsl_5929_cell_00005,ghsl_5929_cell_00001,1414.2
ghsl_5929_cell_00005,ghsl_5929_cell_00004,1000.0
ghsl_5929_cell_00005,ghsl_5929_cell_00006,1000.0
ghsl_5929_cell_00005,ghsl_5929_cell_00009,1414.2
ghsl_5929_cell_00005,ghsl_5929_cell_00010,1000.0
ghsl_5929_cell_00005,ghsl_5929_cell_00011,1414.2
ghsl_5929_cell_00006,ghsl_5929_cell_00002,1414.2
ghsl_5929_cell_00006,ghsl_5929_cell_00005,1000.0
ghsl_5929_cell_00006,ghsl_5929_cell_00007,1000.0
ghsl_5929_cell_00006,ghsl_5929_cell_00010,1414.2
ghsl_5929_cell_00006,ghsl_5929_cell_00011,1000.0
ghsl_5929_cell_00006,ghsl_5929_cell_00012,1414.2
ghsl_5929_cell_00007,ghsl_5929_cell_00002,1000.0
ghsl_5929_cell_00007,ghsl_5929_cell_00006,1000.0
ghsl_5929_cell_00007,ghsl_5929_cell_00008,1000.0
ghsl_5929_cell_00007,ghsl_5929_cell_00011,1414.2
ghsl_5929_cell_00007,ghsl_5929_cell_00012,1000.0
ghsl_5929_cell_00007,ghsl_5929_cell_00013,1414.2
ghsl_5929_cell_00008,ghsl_5929_cell_00002,1414.2
ghsl_5929_cell_00008,ghsl_5929_cell_00007,1000.0
ghsl_5929_cell_00008,ghsl_5929_cell_00012,1414.2
ghsl_5929_cell_00008,ghsl_5929_cell_00013,1000.0
ghsl_5929_cell_00009,ghsl_5929_cell_00003,1414.2
ghsl_5929_cell_00009,ghsl_5929_cell_00004,1000.0
ghsl_5929_cell_00009,ghsl_5929_cell_00005,1414.2
ghsl_5929_cell_00009,ghsl_5929_cell_00010,1000.0
ghsl_5929_cell_00009,ghsl_5929_cell_00014,1414.2
ghsl_5929_cell_00010,ghsl_5929_cell_00004,1414.2
ghsl_5929_cell_00010,ghsl_5929_cell_00005,1000.0
ghsl_5929_cell_00010,ghsl_5929_cell_00006,1414.2
ghsl_5929_cell_00010,ghsl_5929_cell_00009,1000.0
