city_id,dataset,status,records_found,missing_fields,warnings
ghsl_178,overture_places,success,120502.0,,"Observed map records; real-world completeness unknown. Raw bbox records=128961; clipping={'invalid_geometry': 0, 'outside_boundary': 8459}."
ghsl_178,overture_roads,success,147040.0,,"Observed map records; real-world completeness unknown. Raw bbox records=172897; clipping={'invalid_geometry': 0, 'outside_boundary': 25857}."
ghsl_178,overture_buildings,success,183591.0,,"Observed map records; real-world completeness unknown. Raw bbox records=226080; clipping={'invalid_geometry': 0, 'outside_boundary': 42489}."
ghsl_178,overture_land_use,success,14269.0,,"Observed map records; real-world completeness unknown. Raw bbox records=17017; clipping={'invalid_geometry': 0, 'outside_boundary': 2748}."
ghsl_178,osm,success,7539.0,,"Invalid/missing geometry=0; map completeness unknown. Preferred source for explicitly tagged facilities, transit and parks after pilot category sanity check; Overture fallback if no OSM category observed."
ghsl_178,derived_features,success,123965.0,,"{""duplicate_pois_removed"": 135, ""permanently_closed_removed"": 3}; distances are straight-line to mapped POI representative points; 1 km population cells, not travel times; facilities outside city boundary excluded."
ghsl_178,ghsl_population_grid,success,367.0,,"Grid ratio to UCDB population=0.9999999996750688; 2025 GHSL modelled population, 1 km cells."
ghsl_178,worldpop,not_used,,,Matching GHSL R2023A population grid used instead.
ghsl_178,eurostat,not_joined,,,Urban Audit administrative geographies differ from GHSL urban centres. No unverified boundary join.
ghsl_178,ghsl_ucdb,success,1.0,ghsl_CL_LCZ_A07_2025;ghsl_CL_LCZ_A13_2025;ghsl_GE_MRB_MAI_2025;ghsl_GE_MRB_LIS_2025;ghsl_HZ_CEV_DRO_2015;ghsl_HZ_CEV_COW_2015;ghsl_HZ_CEV_TSU_2015;ghsl_HZ_CEV_TCY_2015;ghsl_HZ_CEV_WLF_2015;ghsl_HZ_CEV_LAN_2015;ghsl_HZ_CEV_EAR_2015;ghsl_HZ_CEV_VOL_2015,"Mixed indicator years retained in field names; 2025 boundary and population; Natural Systems duplicate source IDs: agreeing fields retained, conflicts null. Country/subnational modelled indicators are not independent city surveys."
ghsl_5929,overture_places,success,782921.0,,"Observed map records; real-world completeness unknown. Raw bbox records=838382; clipping={'invalid_geometry': 0, 'outside_boundary': 55461}."
ghsl_5929,overture_roads,success,1728143.0,,"Observed map records; real-world completeness unknown. Raw bbox records=2144437; clipping={'invalid_geometry': 0, 'outside_boundary': 416294}."
ghsl_5929,overture_buildings,skipped,,,Large GHSL urban centre (>3000 km²); remote Overture building query exceeds hackathon resource budget. GHSL built-up area remains available; no building count imputed.
ghsl_5929,overture_land_use,success,200401.0,,"Observed map records; real-world completeness unknown. Raw bbox records=269489; clipping={'invalid_geometry': 0, 'outside_boundary': 69088}."
ghsl_5929,osm,success,108956.0,,"Invalid/missing geometry=4; map completeness unknown. Preferred source for explicitly tagged facilities, transit and parks after pilot category sanity check; Overture fallback if no OSM category observed."
ghsl_5929,derived_features,success,825069.0,building_count;building_density;building_footprint_area_km2;built_area_pct,"{""duplicate_pois_removed"": 16238, ""permanently_closed_removed"": 1}; distances are straight-line to mapped POI representative points; 1 km population cells, not travel times; facilities outside city boundary excluded."
ghsl_5929,ghsl_population_grid,success,5159.0,,"Grid ratio to UCDB population=1.0000000000420577; 2025 GHSL modelled population, 1 km cells."
ghsl_5929,worldpop,not_used,,,Matching GHSL R2023A population grid used instead.
ghsl_5929,eurostat,not_joined,,,Urban Audit administrative geographies differ from GHSL urban centres. No unverified boundary join.
ghsl_5929,ghsl_ucdb,success,1.0,ghsl_CL_LCZ_A13_2025;ghsl_GE_MRB_MAI_2025;ghsl_GE_MRB_LIS_2025;ghsl_HZ_CEV_DRO_2015;ghsl_HZ_CEV_COW_2015;ghsl_HZ_CEV_FLO_2015;ghsl_HZ_CEV_WLF_2015;ghsl_HZ_CEV_LAN_2015;ghsl_HZ_CEV_EAR_2015;ghsl_HZ_CEV_VOL_2015,"Mixed indicator years retained in field names; 2025 boundary and population; Natural Systems duplicate source IDs: agreeing fields retained, conflicts null. Country/subnational modelled indicators are not independent city surveys."
ghsl_698,overture_places,success,51490.0,,"Observed map records; real-world completeness unknown. Raw bbox records=55090; clipping={'invalid_geometry': 0, 'outside_boundary': 3600}."
ghsl_698,overture_roads,success,100597.0,,"Observed map records; real-world completeness unknown. Raw bbox records=123415; clipping={'invalid_geometry': 0, 'outside_boundary': 22818}."
ghsl_698,overture_buildings,success,258432.0,,"Observed map records; real-world completeness unknown. Raw bbox records=312517; clipping={'invalid_geometry': 0, 'outside_boundary': 54085}."
ghsl_698,overture_land_use,success,12411.0,,"Observed map records; real-world completeness unknown. Raw bbox records=15385; clipping={'invalid_geometry': 0, 'outside_boundary': 2974}."
ghsl_698,osm,success,7111.0,,"Invalid/missing geometry=1; map completeness unknown. Preferred source for explicitly tagged facilities, transit and parks after pilot category sanity check; Overture fallback if no OSM category observed."
ghsl_698,derived_features,success,55793.0,building_footprint_union_area_km2;built_area_pct,"{""duplicate_pois_removed"": 980, ""permanently_closed_removed"": 23}; distances are straight-line to mapped POI representative points; 1 km population cells, not travel times; facilities outside city boundary excluded."
ghsl_698,ghsl_population_grid,success,302.0,,"Grid ratio to UCDB population=1.0000000005855032; 2025 GHSL modelled population, 1 km cells."
ghsl_698,worldpop,not_used,,,Matching GHSL R2023A population grid used instead.
ghsl_698,eurostat,not_joined,,,Urban Audit administrative geographies differ from GHSL urban centres. No unverified boundary join.
ghsl_698,ghsl_ucdb,success,1.0,ghsl_CL_LCZ_A07_2025;ghsl_CL_LCZ_A13_2025;ghsl_GE_MRB_MAI_2025;ghsl_GE_MRB_LIS_2025;ghsl_HZ_CEV_DRO_2015;ghsl_HZ_CEV_FLO_2015;ghsl_HZ_CEV_TSU_2015;ghsl_HZ_CEV_TCY_2015;ghsl_HZ_CEV_WLF_2015;ghsl_HZ_CEV_LAN_2015;ghsl_HZ_CEV_EAR_2015;ghsl_HZ_CEV_VOL_2015;ghsl_HL_FCL_PHA_2024;ghsl_HL_FDE_PHA_2024;ghsl_HL_FPC_PHA_2025;ghsl_HL_POP_PHA_2025;ghsl_HL_SHP_PHA_2025,"Mixed indicator years retained in field names; 2025 boundary and population; Natural Systems duplicate source IDs: agreeing fields retained, conflicts null. Country/subnational modelled indicators are not independent city surveys."
